design_id,connection_count,block_creation_interval,maximum_block_size,operational_id,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,transaction_arrival_rate,number_of_attackers
D001,8,474,7.230124069,O001,277,0.102604459,0.043442589,0.194317089,0.679018115,68
D001,8,474,7.230124069,O002,27,0.258752568,0.087770931,0.008640494,1.38975462,5
D001,8,474,7.230124069,O003,52,0.38810395,0.037662131,0.108512911,382.426172,9
D001,8,474,7.230124069,O004,40,0.192326393,0.264850242,0.068384595,1.796043902,2
D001,8,474,7.230124069,O005,371,0.139080989,0.110793304,0.434476316,4.782470624,82
D001,8,474,7.230124069,O006,612,0.351754303,0.257897057,0.260304956,14.0231672,90
D001,8,474,7.230124069,O007,77,0.129442324,0.288019552,0.220881538,278.7975255,14
D001,8,474,7.230124069,O008,221,0.074747705,0.106527742,0.017441816,39.9359768,3
D001,8,474,7.230124069,O009,35,0.33854338,0.100036711,0.210825734,0.291349837,5
D001,8,474,7.230124069,O010,451,0.052883935,0.358161718,0.236761336,121.6634761,42
D001,8,474,7.230124069,O011,74,0.144332149,0.165813474,0.385639579,7.612816186,14
D001,8,474,7.230124069,O012,223,0.416546292,0.282673091,0.32156114,263.3928516,45
D001,8,474,7.230124069,O013,44,0.009296294,0.016069147,0.46994754,19.07587013,2
D001,8,474,7.230124069,O014,55,0.063681028,0.359232528,0.062073815,6.846376778,12
D001,8,474,7.230124069,O015,209,0.451149983,0.236045833,0.154470026,80.60852371,51
D001,8,474,7.230124069,O016,42,0.467703809,0.319330651,0.479571963,2.816581002,4
D001,8,474,7.230124069,O017,566,0.079040707,0.273487807,0.205386553,30.71630729,2
D001,8,474,7.230124069,O018,47,0.115452082,0.375891755,0.182263832,27.10304045,5
D001,8,474,7.230124069,O019,346,0.328784836,0.382557414,0.459924272,101.7658761,20
D001,8,474,7.230124069,O020,716,0.496396638,0.133572698,0.266759244,6.426013166,60
D001,8,474,7.230124069,O021,420,0.48022181,0.187407167,0.359386041,0.867668983,21
D001,8,474,7.230124069,O022,267,0.455013571,0.326802204,0.306257687,0.769135998,58
D001,8,474,7.230124069,O023,466,0.298731439,0.159533286,0.396478816,200.7094936,82
D001,8,474,7.230124069,O024,558,0.01340343,0.303476888,0.066234207,49.85978811,102
D001,8,474,7.230124069,O025,134,0.478862627,0.143860088,0.292798536,27.75615028,24
D001,8,474,7.230124069,O026,895,0.242847342,0.233050134,0.261191584,88.77238047,105
D001,8,474,7.230124069,O027,151,0.176236214,0.241928904,0.351457356,35.71829399,7
D001,8,474,7.230124069,O028,56,0.028244864,0.278689146,0.378471393,0.608384201,13
D001,8,474,7.230124069,O029,805,0.381188683,0.092211445,0.026074716,24.57237204,88
D001,8,474,7.230124069,O030,71,0.461351531,0.181855767,0.446794718,2.721757248,9
D001,8,474,7.230124069,O031,284,0.229425587,0.189758555,0.080734232,176.2862794,67
D001,8,474,7.230124069,O032,253,0.146804109,0.347778891,0.034491215,0.526356955,52
D001,8,474,7.230124069,O033,186,0.112012509,0.223782794,0.407759125,2.414861064,18
D001,8,474,7.230124069,O034,232,0.12099571,0.322095415,0.109420155,1.687588139,28
D001,8,474,7.230124069,O035,33,0.379636064,0.208018446,0.173673111,0.448524837,1
D001,8,474,7.230124069,O036,683,0.494332057,0.220696226,0.147363023,41.16909032,50
D001,8,474,7.230124069,O037,430,0.044881364,0.211205617,0.14472369,0.235830495,64
D001,8,474,7.230124069,O038,541,0.023426649,0.269227699,0.314041207,0.396420451,106
D001,8,474,7.230124069,O039,81,0.346062487,0.297962901,0.037609511,295.1156361,3
D001,8,474,7.230124069,O040,22,0.132312725,0.387023034,0.48640877,159.3308649,1
D001,8,474,7.230124069,O041,868,0.269319618,0.069240523,0.228495952,3.697347003,77
D001,8,474,7.230124069,O042,323,0.321014377,0.053182259,0.202467303,3.069451213,75
D001,8,474,7.230124069,O043,60,0.470149674,0.350184037,0.345788332,0.966179174,1
D001,8,474,7.230124069,O044,31,0.222397933,0.073259968,0.077934798,134.3501387,4
D001,8,474,7.230124069,O045,38,0.251921878,0.260723642,0.043585928,12.51441097,1
D001,8,474,7.230124069,O046,646,0.197392562,0.365845692,0.234109773,326.6514787,6
D001,8,474,7.230124069,O047,303,0.180130271,0.246520593,0.050012418,8.54330241,9
D001,8,474,7.230124069,O048,23,0.00021805,0.028031124,0.277887063,2.038271018,4
D001,8,474,7.230124069,O049,167,0.088317626,0.338602146,0.450648463,47.31211022,15
D001,8,474,7.230124069,O050,72,0.106989874,0.198246178,0.158598684,91.5963341,15
D001,8,474,7.230124069,O051,24,0.325397665,0.388334288,0.250171333,1.521751159,4
D001,8,474,7.230124069,O052,86,0.276861637,0.398135487,0.090435916,11.46224193,2
D001,8,474,7.230124069,O053,352,0.040205786,0.064781166,0.384367834,4.135475542,8
D001,8,474,7.230124069,O054,29,0.443915181,0.25137144,0.497993332,0.85872162,6
