design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,relative_transaction_load,number_of_attackers,transaction_arrival_rate
D001,O001,8,474,7.230124069,184,0.252173292,0.345006223,0.414518539,1.008029851,43,100.8029851
D001,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,1.030814136,16,103.0814136
D001,O003,8,474,7.230124069,43,0.48531049,0.109844006,0.373132887,0.562934186,5,56.2934186
D001,O004,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,0.621494583,12,62.14945825
D001,O005,8,474,7.230124069,472,0.458927508,0.08115278,0.018055532,0.751825682,8,75.18256816
D001,O006,8,474,7.230124069,26,0.466438896,0.19990199,0.36047691,0.537345538,5,53.73455384
D001,O007,8,474,7.230124069,20,0.141130372,0.138764594,0.166622366,0.974703346,2,97.47033455
D001,O008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,0.70421183,4,70.42118302
D001,O009,8,474,7.230124069,39,0.272204984,0.243100415,0.446678,0.893215891,1,89.32158912
D001,O010,8,474,7.230124069,78,0.42428609,0.04657399,0.47291634,0.886241643,6,88.62416428
D001,O011,8,474,7.230124069,163,0.257766277,0.230369452,0.067376828,1.041013094,24,104.1013094
D001,O012,8,474,7.230124069,121,0.018977159,0.042108472,0.106166432,0.634587855,7,63.4587855
D001,O013,8,474,7.230124069,38,0.13035544,0.200717694,0.465695355,0.90739434,4,90.73943399
D001,O014,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,0.956197221,126,95.61972212
D001,O015,8,474,7.230124069,369,0.403527677,0.186961283,0.029180542,1.016098144,88,101.6098144
D001,O016,8,474,7.230124069,990,0.188337728,0.211915952,0.403770273,0.683522338,99,68.35223385
D001,O017,8,474,7.230124069,47,0.235947901,0.205558573,0.450421949,0.98550411,1,98.55041102
D001,O018,8,474,7.230124069,128,0.201594351,0.132120615,0.2466657,1.015365814,15,101.5365814
D001,O019,8,474,7.230124069,24,0.431629638,0.254066717,0.253740338,0.934568431,1,93.45684308
D001,O020,8,474,7.230124069,113,0.348269976,0.095285863,0.409466489,0.990902637,28,99.09026365
D001,O021,8,474,7.230124069,35,0.407381528,0.191612689,0.078494355,0.726366674,4,72.63666744
D001,O022,8,474,7.230124069,193,0.265083523,0.114415056,0.48366938,0.770574624,6,77.05746237
D001,O023,8,474,7.230124069,410,0.214451437,0.12789836,0.094002538,0.876090399,34,87.60903986
D001,O024,8,474,7.230124069,109,0.107543079,0.370185632,0.33107989,0.763088384,2,76.30883835
D001,O025,8,474,7.230124069,53,0.129725034,0.023513439,0.022926164,0.647079336,9,64.70793359
D001,O026,8,474,7.230124069,104,0.335746812,0.309055962,0.214783733,0.866605062,9,86.66050617
D001,O027,8,474,7.230124069,120,0.173792118,0.275390581,0.115990185,0.594400816,1,59.44008158
D001,O028,8,474,7.230124069,315,0.161028291,0.149607497,0.243736481,0.836522744,76,83.65227438
D001,O029,8,474,7.230124069,744,0.31398409,0.144642217,0.380464816,1.001095973,47,100.1095973
D001,O030,8,474,7.230124069,96,0.291312931,0.178362873,0.260288981,0.712485371,21,71.24853709
D001,O031,8,474,7.230124069,61,0.375724597,0.298965989,0.344989603,1.023539068,2,102.3539068
D001,O032,8,474,7.230124069,449,0.47407037,0.293964396,0.333868972,0.526716923,86,52.67169234
D001,O033,8,474,7.230124069,28,0.356894295,0.285864598,0.280390934,0.572892371,5,57.28923709
D001,O034,8,474,7.230124069,172,0.339323194,0.106162856,0.193996227,0.976195745,28,97.61957452
D001,O035,8,474,7.230124069,173,0.041159595,0.256897351,0.341435098,0.936656262,22,93.66562622
D001,O036,8,474,7.230124069,83,0.318040863,0.288671609,0.125731933,0.510862581,11,51.08625812
D001,O037,8,474,7.230124069,232,0.083660283,0.374766445,0.463420281,0.901833982,16,90.18339821
D001,O038,8,474,7.230124069,765,0.137328547,0.153890662,0.395745604,0.824092212,73,82.40922118
D001,O039,8,474,7.230124069,48,0.232718262,0.17994217,0.033136716,0.784320075,1,78.43200746
D001,O040,8,474,7.230124069,585,0.392959459,0.39457393,0.498815231,0.847757244,30,84.77572444
D001,O041,8,474,7.230124069,49,0.297735298,0.268205888,0.212580592,0.765018393,7,76.50183927
D001,O042,8,474,7.230124069,533,0.049123846,0.273615249,0.271891148,0.775509181,28,77.55091812
D001,O043,8,474,7.230124069,936,0.154267686,0.332919895,0.389161836,0.694797352,211,69.47973518
D001,O044,8,474,7.230124069,721,0.432376139,0.324925408,0.144007894,0.742867678,148,74.28676783
D001,O045,8,474,7.230124069,692,0.331104768,0.086465045,0.220042135,0.679206917,59,67.92069167
D001,O046,8,474,7.230124069,402,0.241792287,0.134055119,0.264545347,1.045585484,81,104.5585484
D001,O047,8,474,7.230124069,32,0.457593053,0.357426009,0.365235909,0.729886159,4,72.98861593
D001,O048,8,474,7.230124069,45,0.221925977,0.348159922,0.204633474,0.792986797,8,79.29867968
D001,O049,8,474,7.230124069,33,0.068127718,0.327197905,0.351458552,0.638016666,6,63.80166664
D001,O050,8,474,7.230124069,322,0.206052109,0.123509785,0.230258857,0.710466564,78,71.04665639
D001,O051,8,474,7.230124069,264,0.415458501,0.161179135,0.311726789,0.922834621,12,92.28346214
D001,O052,8,474,7.230124069,249,0.293109713,0.381495942,0.29384703,0.500330142,30,50.03301419
D001,O053,8,474,7.230124069,251,0.008437374,0.219704544,0.077608614,0.857828126,11,85.7828126
D001,O054,8,474,7.230124069,70,0.483939677,0.225369653,0.039302168,0.574845385,11,57.48453845
D001,O055,8,474,7.230124069,143,0.09821222,0.163666817,0.285033773,0.601558378,17,60.15583779
D001,O056,8,474,7.230124069,345,0.064149611,0.031223606,0.23904777,0.691855779,21,69.1855779
D001,O057,8,474,7.230124069,100,0.400541493,0.216556949,0.487740957,1.038462113,22,103.8462113
D001,O058,8,474,7.230124069,22,0.090722232,0.036785238,0.101049312,0.663001423,4,66.30014227
D001,O059,8,474,7.230124069,486,0.079431167,0.248195591,0.397292534,0.804788767,76,80.47887671
D001,O060,8,474,7.230124069,273,0.451061182,0.170720182,0.061912147,0.815113055,50,81.51130546
D001,O061,8,474,7.230124069,27,0.381805437,0.01616482,0.491613692,0.675221612,4,67.52216124
D001,O062,8,474,7.230124069,442,0.418928223,0.359834489,0.417321395,0.554105019,34,55.41050193
D001,O063,8,474,7.230124069,159,0.167777479,0.069957712,0.130372357,0.943907134,38,94.39071338
D001,O064,8,474,7.230124069,358,0.061032209,0.305917985,0.455729849,0.927346891,71,92.73468912
D001,O065,8,474,7.230124069,56,0.248866638,0.340199764,0.379559452,0.583546864,5,58.35468637
D001,O066,8,474,7.230124069,149,0.351209323,0.192455527,0.149427886,0.883050134,9,88.30501339
D001,O067,8,474,7.230124069,60,0.359928689,0.02076874,0.174232425,0.648987034,6,64.89870338
D001,O068,8,474,7.230124069,871,0.148525779,0.2389906,0.43126666,0.56330551,22,56.33055097
D001,O069,8,474,7.230124069,600,0.193256125,0.259153683,0.18565311,0.968309469,107,96.83094685
D001,O070,8,474,7.230124069,139,0.286307662,0.0275532,0.151186277,0.734969069,9,73.4969069
D001,O071,8,474,7.230124069,830,0.025772238,0.059916076,0.006124037,0.854259133,1,85.42591325
D001,O072,8,474,7.230124069,41,0.447028226,0.353970092,0.321029628,0.606201119,5,60.6201119
D001,O073,8,474,7.230124069,22,0.099783277,0.097826372,0.112559894,0.548583884,3,54.85838841
D001,O074,8,474,7.230124069,36,0.042568944,0.004280635,0.087293441,0.86728622,3,86.728622
D001,O075,8,474,7.230124069,31,0.495260113,0.154710174,0.269857669,0.722353565,5,72.23535652
D001,O076,8,474,7.230124069,202,0.209924614,0.319442165,0.171734319,0.667816616,34,66.78166162
D001,O077,8,474,7.230124069,648,0.325153788,0.303515085,0.316930252,0.613107267,97,61.31072669
D001,O078,8,474,7.230124069,379,0.223960723,0.064878079,0.224272393,0.840645589,80,84.06455889
D001,O079,8,474,7.230124069,65,0.075519811,0.282963886,0.299403793,0.51375586,9,51.37558605
D001,O080,8,474,7.230124069,206,0.124478381,0.390952102,0.159201992,0.812430792,3,81.24307921
D001,O081,8,474,7.230124069,229,0.311863322,0.040757227,0.190953924,0.52059127,6,52.05912701
D001,O082,8,474,7.230124069,630,0.267185735,0.363424574,0.305398084,0.528725737,144,52.87257373
D001,O083,8,474,7.230124069,89,0.002629244,0.11891721,0.012340148,0.799263288,13,79.92632877
D001,O084,8,474,7.230124069,797,0.372992677,0.000386491,0.00152113,0.993396916,169,99.33969159
D001,O085,8,474,7.230124069,66,0.183976656,0.236269207,0.120756181,0.591017322,11,59.10173219
D001,O086,8,474,7.230124069,135,0.469888219,0.056365997,0.043821459,0.952586866,28,95.25868662
D001,O087,8,474,7.230124069,23,0.111840401,0.071296914,0.089679808,0.791166307,2,79.11663067
D001,O088,8,474,7.230124069,74,0.028069089,0.054085246,0.202673962,0.619616712,14,61.96167125
D001,O089,8,474,7.230124069,55,0.492105028,0.101006081,0.474810428,0.657444473,6,65.74444725
D001,O090,8,474,7.230124069,285,0.03434851,0.377557012,0.057284121,0.757204241,14,75.7204241
D001,O091,8,474,7.230124069,85,0.181583703,0.224320695,0.138841885,0.830164928,8,83.01649276
D001,O092,8,474,7.230124069,303,0.442706311,0.172267227,0.436491903,0.897895329,53,89.78953292
D001,O093,8,474,7.230124069,25,0.276275035,0.078153424,0.291384582,0.958605081,1,95.8605081
D001,O094,8,474,7.230124069,888,0.302089761,0.091469055,0.358945917,0.915650339,193,91.56503387
D001,O095,8,474,7.230124069,29,0.365502327,0.314203797,0.177999519,0.631365154,3,63.13651542
D001,O096,8,474,7.230124069,91,0.16170145,0.264353919,0.069555674,0.545005585,20,54.50055846
D002,O001,3,167,1.576274442,184,0.252173292,0.345006223,0.414518539,1.008029851,43,100.8029851
D002,O002,3,167,1.576274442,71,0.386957289,0.33590604,0.423756547,1.030814136,16,103.0814136
D002,O003,3,167,1.576274442,43,0.48531049,0.109844006,0.373132887,0.562934186,5,56.2934186
D002,O004,3,167,1.576274442,544,0.015441285,0.39993713,0.047767101,0.621494583,12,62.14945825
D002,O005,3,167,1.576274442,472,0.458927508,0.08115278,0.018055532,0.751825682,8,75.18256816
D002,O006,3,167,1.576274442,26,0.466438896,0.19990199,0.36047691,0.537345538,5,53.73455384
D002,O007,3,167,1.576274442,20,0.141130372,0.138764594,0.166622366,0.974703346,2,97.47033455
D002,O008,3,167,1.576274442,217,0.118365868,0.010264005,0.438577644,0.70421183,4,70.42118302
D002,O009,3,167,1.576274442,39,0.272204984,0.243100415,0.446678,0.893215891,1,89.32158912
D002,O010,3,167,1.576274442,78,0.42428609,0.04657399,0.47291634,0.886241643,6,88.62416428
D002,O011,3,167,1.576274442,163,0.257766277,0.230369452,0.067376828,1.041013094,24,104.1013094
D002,O012,3,167,1.576274442,121,0.018977159,0.042108472,0.106166432,0.634587855,7,63.4587855
D002,O013,3,167,1.576274442,38,0.13035544,0.200717694,0.465695355,0.90739434,4,90.73943399
D002,O014,3,167,1.576274442,505,0.055050564,0.385744929,0.323573274,0.956197221,126,95.61972212
D002,O015,3,167,1.576274442,369,0.403527677,0.186961283,0.029180542,1.016098144,88,101.6098144
D002,O016,3,167,1.576274442,990,0.188337728,0.211915952,0.403770273,0.683522338,99,68.35223385
D002,O017,3,167,1.576274442,47,0.235947901,0.205558573,0.450421949,0.98550411,1,98.55041102
D002,O018,3,167,1.576274442,128,0.201594351,0.132120615,0.2466657,1.015365814,15,101.5365814
D002,O019,3,167,1.576274442,24,0.431629638,0.254066717,0.253740338,0.934568431,1,93.45684308
D002,O020,3,167,1.576274442,113,0.348269976,0.095285863,0.409466489,0.990902637,28,99.09026365
D002,O021,3,167,1.576274442,35,0.407381528,0.191612689,0.078494355,0.726366674,4,72.63666744
D002,O022,3,167,1.576274442,193,0.265083523,0.114415056,0.48366938,0.770574624,6,77.05746237
D002,O023,3,167,1.576274442,410,0.214451437,0.12789836,0.094002538,0.876090399,34,87.60903986
D002,O024,3,167,1.576274442,109,0.107543079,0.370185632,0.33107989,0.763088384,2,76.30883835
D002,O025,3,167,1.576274442,53,0.129725034,0.023513439,0.022926164,0.647079336,9,64.70793359
D002,O026,3,167,1.576274442,104,0.335746812,0.309055962,0.214783733,0.866605062,9,86.66050617
D002,O027,3,167,1.576274442,120,0.173792118,0.275390581,0.115990185,0.594400816,1,59.44008158
D002,O028,3,167,1.576274442,315,0.161028291,0.149607497,0.243736481,0.836522744,76,83.65227438
D002,O029,3,167,1.576274442,744,0.31398409,0.144642217,0.380464816,1.001095973,47,100.1095973
D002,O030,3,167,1.576274442,96,0.291312931,0.178362873,0.260288981,0.712485371,21,71.24853709
D002,O031,3,167,1.576274442,61,0.375724597,0.298965989,0.344989603,1.023539068,2,102.3539068
D002,O032,3,167,1.576274442,449,0.47407037,0.293964396,0.333868972,0.526716923,86,52.67169234
D002,O033,3,167,1.576274442,28,0.356894295,0.285864598,0.280390934,0.572892371,5,57.28923709
D002,O034,3,167,1.576274442,172,0.339323194,0.106162856,0.193996227,0.976195745,28,97.61957452
D002,O035,3,167,1.576274442,173,0.041159595,0.256897351,0.341435098,0.936656262,22,93.66562622
D002,O036,3,167,1.576274442,83,0.318040863,0.288671609,0.125731933,0.510862581,11,51.08625812
D002,O037,3,167,1.576274442,232,0.083660283,0.374766445,0.463420281,0.901833982,16,90.18339821
D002,O038,3,167,1.576274442,765,0.137328547,0.153890662,0.395745604,0.824092212,73,82.40922118
D002,O039,3,167,1.576274442,48,0.232718262,0.17994217,0.033136716,0.784320075,1,78.43200746
D002,O040,3,167,1.576274442,585,0.392959459,0.39457393,0.498815231,0.847757244,30,84.77572444
D002,O041,3,167,1.576274442,49,0.297735298,0.268205888,0.212580592,0.765018393,7,76.50183927
D002,O042,3,167,1.576274442,533,0.049123846,0.273615249,0.271891148,0.775509181,28,77.55091812
D002,O043,3,167,1.576274442,936,0.154267686,0.332919895,0.389161836,0.694797352,211,69.47973518
D002,O044,3,167,1.576274442,721,0.432376139,0.324925408,0.144007894,0.742867678,148,74.28676783
D002,O045,3,167,1.576274442,692,0.331104768,0.086465045,0.220042135,0.679206917,59,67.92069167
D002,O046,3,167,1.576274442,402,0.241792287,0.134055119,0.264545347,1.045585484,81,104.5585484
D002,O047,3,167,1.576274442,32,0.457593053,0.357426009,0.365235909,0.729886159,4,72.98861593
D002,O048,3,167,1.576274442,45,0.221925977,0.348159922,0.204633474,0.792986797,8,79.29867968
D002,O049,3,167,1.576274442,33,0.068127718,0.327197905,0.351458552,0.638016666,6,63.80166664
D002,O050,3,167,1.576274442,322,0.206052109,0.123509785,0.230258857,0.710466564,78,71.04665639
D002,O051,3,167,1.576274442,264,0.415458501,0.161179135,0.311726789,0.922834621,12,92.28346214
D002,O052,3,167,1.576274442,249,0.293109713,0.381495942,0.29384703,0.500330142,30,50.03301419
D002,O053,3,167,1.576274442,251,0.008437374,0.219704544,0.077608614,0.857828126,11,85.7828126
D002,O054,3,167,1.576274442,70,0.483939677,0.225369653,0.039302168,0.574845385,11,57.48453845
D002,O055,3,167,1.576274442,143,0.09821222,0.163666817,0.285033773,0.601558378,17,60.15583779
D002,O056,3,167,1.576274442,345,0.064149611,0.031223606,0.23904777,0.691855779,21,69.1855779
D002,O057,3,167,1.576274442,100,0.400541493,0.216556949,0.487740957,1.038462113,22,103.8462113
D002,O058,3,167,1.576274442,22,0.090722232,0.036785238,0.101049312,0.663001423,4,66.30014227
D002,O059,3,167,1.576274442,486,0.079431167,0.248195591,0.397292534,0.804788767,76,80.47887671
D002,O060,3,167,1.576274442,273,0.451061182,0.170720182,0.061912147,0.815113055,50,81.51130546
D002,O061,3,167,1.576274442,27,0.381805437,0.01616482,0.491613692,0.675221612,4,67.52216124
D002,O062,3,167,1.576274442,442,0.418928223,0.359834489,0.417321395,0.554105019,34,55.41050193
D002,O063,3,167,1.576274442,159,0.167777479,0.069957712,0.130372357,0.943907134,38,94.39071338
D002,O064,3,167,1.576274442,358,0.061032209,0.305917985,0.455729849,0.927346891,71,92.73468912
D002,O065,3,167,1.576274442,56,0.248866638,0.340199764,0.379559452,0.583546864,5,58.35468637
D002,O066,3,167,1.576274442,149,0.351209323,0.192455527,0.149427886,0.883050134,9,88.30501339
D002,O067,3,167,1.576274442,60,0.359928689,0.02076874,0.174232425,0.648987034,6,64.89870338
D002,O068,3,167,1.576274442,871,0.148525779,0.2389906,0.43126666,0.56330551,22,56.33055097
D002,O069,3,167,1.576274442,600,0.193256125,0.259153683,0.18565311,0.968309469,107,96.83094685
D002,O070,3,167,1.576274442,139,0.286307662,0.0275532,0.151186277,0.734969069,9,73.4969069
D002,O071,3,167,1.576274442,830,0.025772238,0.059916076,0.006124037,0.854259133,1,85.42591325
D002,O072,3,167,1.576274442,41,0.447028226,0.353970092,0.321029628,0.606201119,5,60.6201119
D002,O073,3,167,1.576274442,22,0.099783277,0.097826372,0.112559894,0.548583884,3,54.85838841
D002,O074,3,167,1.576274442,36,0.042568944,0.004280635,0.087293441,0.86728622,3,86.728622
D002,O075,3,167,1.576274442,31,0.495260113,0.154710174,0.269857669,0.722353565,5,72.23535652
D002,O076,3,167,1.576274442,202,0.209924614,0.319442165,0.171734319,0.667816616,34,66.78166162
D002,O077,3,167,1.576274442,648,0.325153788,0.303515085,0.316930252,0.613107267,97,61.31072669
D002,O078,3,167,1.576274442,379,0.223960723,0.064878079,0.224272393,0.840645589,80,84.06455889
D002,O079,3,167,1.576274442,65,0.075519811,0.282963886,0.299403793,0.51375586,9,51.37558605
D002,O080,3,167,1.576274442,206,0.124478381,0.390952102,0.159201992,0.812430792,3,81.24307921
D002,O081,3,167,1.576274442,229,0.311863322,0.040757227,0.190953924,0.52059127,6,52.05912701
