design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,relative_transaction_load,number_of_attackers
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,0.854259133,1
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,0.952586866,28
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,0.56330551,22
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,0.619616712,14
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D121,O044,1,60,0.25,721,0.432376139,0.324925408,0.144007894,0.742867678,148
D121,O039,1,60,0.25,48,0.232718262,0.17994217,0.033136716,0.784320075,1
D121,O002,1,60,0.25,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D121,O040,1,60,0.25,585,0.392959459,0.39457393,0.498815231,0.847757244,30
D121,O094,1,60,0.25,888,0.302089761,0.091469055,0.358945917,0.915650339,193
D121,O081,1,60,0.25,229,0.311863322,0.040757227,0.190953924,0.52059127,6
D121,O049,1,60,0.25,33,0.068127718,0.327197905,0.351458552,0.638016666,6
D121,O052,1,60,0.25,249,0.293109713,0.381495942,0.29384703,0.500330142,30
D121,O008,1,60,0.25,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D121,O054,1,60,0.25,70,0.483939677,0.225369653,0.039302168,0.574845385,11
D121,O024,1,60,0.25,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D121,O096,1,60,0.25,91,0.16170145,0.264353919,0.069555674,0.545005585,20
D121,O011,1,60,0.25,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D121,O007,1,60,0.25,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D121,O005,1,60,0.25,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D121,O051,1,60,0.25,264,0.415458501,0.161179135,0.311726789,0.922834621,12
D121,O035,1,60,0.25,173,0.041159595,0.256897351,0.341435098,0.936656262,22
D121,O061,1,60,0.25,27,0.381805437,0.01616482,0.491613692,0.675221612,4
D121,O041,1,60,0.25,49,0.297735298,0.268205888,0.212580592,0.765018393,7
D121,O063,1,60,0.25,159,0.167777479,0.069957712,0.130372357,0.943907134,38
D121,O019,1,60,0.25,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D121,O012,1,60,0.25,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,0.694797352,211
D121,O020,1,60,0.25,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D121,O038,1,60,0.25,765,0.137328547,0.153890662,0.395745604,0.824092212,73
D121,O010,1,60,0.25,78,0.42428609,0.04657399,0.47291634,0.886241643,6
D121,O053,1,60,0.25,251,0.008437374,0.219704544,0.077608614,0.857828126,11
D121,O032,1,60,0.25,449,0.47407037,0.293964396,0.333868972,0.526716923,86
D121,O083,1,60,0.25,89,0.002629244,0.11891721,0.012340148,0.799263288,13
D121,O050,1,60,0.25,322,0.206052109,0.123509785,0.230258857,0.710466564,78
D121,O084,1,60,0.25,797,0.372992677,0.000386491,0.00152113,0.993396916,169
D121,O027,1,60,0.25,120,0.173792118,0.275390581,0.115990185,0.594400816,1
D121,O023,1,60,0.25,410,0.214451437,0.12789836,0.094002538,0.876090399,34
D121,O047,1,60,0.25,32,0.457593053,0.357426009,0.365235909,0.729886159,4
D121,O067,1,60,0.25,60,0.359928689,0.02076874,0.174232425,0.648987034,6
D121,O074,1,60,0.25,36,0.042568944,0.004280635,0.087293441,0.86728622,3
D121,O092,1,60,0.25,303,0.442706311,0.172267227,0.436491903,0.897895329,53
D121,O045,1,60,0.25,692,0.331104768,0.086465045,0.220042135,0.679206917,59
D121,O093,1,60,0.25,25,0.276275035,0.078153424,0.291384582,0.958605081,1
D121,O055,1,60,0.25,143,0.09821222,0.163666817,0.285033773,0.601558378,17
D128,O006,8,1200,8,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D128,O071,8,1200,8,830,0.025772238,0.059916076,0.006124037,0.854259133,1
D128,O014,8,1200,8,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D128,O017,8,1200,8,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D128,O086,8,1200,8,135,0.469888219,0.056365997,0.043821459,0.952586866,28
D128,O068,8,1200,8,871,0.148525779,0.2389906,0.43126666,0.56330551,22
D128,O088,8,1200,8,74,0.028069089,0.054085246,0.202673962,0.619616712,14
D128,O004,8,1200,8,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D128,O044,8,1200,8,721,0.432376139,0.324925408,0.144007894,0.742867678,148
D128,O039,8,1200,8,48,0.232718262,0.17994217,0.033136716,0.784320075,1
D128,O002,8,1200,8,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D128,O040,8,1200,8,585,0.392959459,0.39457393,0.498815231,0.847757244,30
D128,O094,8,1200,8,888,0.302089761,0.091469055,0.358945917,0.915650339,193
