design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,relative_transaction_load,execution_index,manifest_pair_id,network_instance,event_replication,network_realization_id,network_seed,event_seed,run_id
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.537345538,1,D121_O006,1,1,D121_O006_S01,-4688088894518812681,-8487890143571327384,D121_O006_S01_E01
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.537345538,2,D121_O006,1,2,D121_O006_S01,-4688088894518812681,-3586521743584141975,D121_O006_S01_E02
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.537345538,3,D121_O006,2,1,D121_O006_S02,-7218275691318535687,5104380968896133999,D121_O006_S02_E01
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.537345538,4,D121_O006,2,2,D121_O006_S02,-7218275691318535687,-8073298104188301364,D121_O006_S02_E02
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,0.854259133,5,D121_O071,1,1,D121_O071_S01,-4893573282337900523,4955680632466959611,D121_O071_S01_E01
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,0.854259133,6,D121_O071,1,2,D121_O071_S01,-4893573282337900523,-3469558340665997895,D121_O071_S01_E02
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,0.854259133,7,D121_O071,2,1,D121_O071_S02,-1778791876380321996,-8736381333848607532,D121_O071_S02_E01
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,0.854259133,8,D121_O071,2,2,D121_O071_S02,-1778791876380321996,5752478823305538029,D121_O071_S02_E02
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,0.956197221,9,D121_O014,1,1,D121_O014_S01,4989544674959786777,-1623615142652225789,D121_O014_S01_E01
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,0.956197221,10,D121_O014,1,2,D121_O014_S01,4989544674959786777,8015102412330382239,D121_O014_S01_E02
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,0.956197221,11,D121_O014,2,1,D121_O014_S02,44596830332361938,-2148888561026756465,D121_O014_S02_E01
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,0.956197221,12,D121_O014,2,2,D121_O014_S02,44596830332361938,2186415211597060243,D121_O014_S02_E02
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,0.98550411,13,D121_O017,1,1,D121_O017_S01,-4544608361417702479,2919430729864395708,D121_O017_S01_E01
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,0.98550411,14,D121_O017,1,2,D121_O017_S01,-4544608361417702479,-2523738852677664906,D121_O017_S01_E02
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,0.98550411,15,D121_O017,2,1,D121_O017_S02,3956281187321047219,3826755023031191631,D121_O017_S02_E01
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,0.98550411,16,D121_O017,2,2,D121_O017_S02,3956281187321047219,8038207093963365086,D121_O017_S02_E02
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,0.952586866,17,D121_O086,1,1,D121_O086_S01,1988802615146798858,-7650096752212457322,D121_O086_S01_E01
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,0.952586866,18,D121_O086,1,2,D121_O086_S01,1988802615146798858,6050859493382123376,D121_O086_S01_E02
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,0.952586866,19,D121_O086,2,1,D121_O086_S02,-6981527585021260795,6005715009211840544,D121_O086_S02_E01
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,0.952586866,20,D121_O086,2,2,D121_O086_S02,-6981527585021260795,-6333217996961727500,D121_O086_S02_E02
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.56330551,21,D121_O068,1,1,D121_O068_S01,2582700367925655944,6292112249082184375,D121_O068_S01_E01
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.56330551,22,D121_O068,1,2,D121_O068_S01,2582700367925655944,-8944575588053127258,D121_O068_S01_E02
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.56330551,23,D121_O068,2,1,D121_O068_S02,8607791209075777566,-8466286807320315811,D121_O068_S02_E01
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.56330551,24,D121_O068,2,2,D121_O068_S02,8607791209075777566,7307724231081226314,D121_O068_S02_E02
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,0.619616712,25,D121_O088,1,1,D121_O088_S01,7268013547461015509,-5101611309506086747,D121_O088_S01_E01
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,0.619616712,26,D121_O088,1,2,D121_O088_S01,7268013547461015509,9159480971075267658,D121_O088_S01_E02
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,0.619616712,27,D121_O088,2,1,D121_O088_S02,-7486587786813524283,6328014776286023707,D121_O088_S02_E01
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,0.619616712,28,D121_O088,2,2,D121_O088_S02,-7486587786813524283,-8545394706025791605,D121_O088_S02_E02
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,0.621494583,29,D121_O004,1,1,D121_O004_S01,5935143177363035648,-4478559313609849640,D121_O004_S01_E01
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,0.621494583,30,D121_O004,1,2,D121_O004_S01,5935143177363035648,-4769561310343053856,D121_O004_S01_E02
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,0.621494583,31,D121_O004,2,1,D121_O004_S02,-2021941122401532809,-8268773064438635658,D121_O004_S02_E01
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,0.621494583,32,D121_O004,2,2,D121_O004_S02,-2021941122401532809,898291853423079895,D121_O004_S02_E02
D121,O044,1,60,0.25,721,0.432376139,0.324925408,0.144007894,148,0.742867678,33,D121_O044,1,1,D121_O044_S01,-3266684061541954338,2700292020263107932,D121_O044_S01_E01
D121,O044,1,60,0.25,721,0.432376139,0.324925408,0.144007894,148,0.742867678,34,D121_O044,1,2,D121_O044_S01,-3266684061541954338,-1248611108365268175,D121_O044_S01_E02
D121,O044,1,60,0.25,721,0.432376139,0.324925408,0.144007894,148,0.742867678,35,D121_O044,2,1,D121_O044_S02,9220394456994236977,1613774710471414844,D121_O044_S02_E01
D121,O044,1,60,0.25,721,0.432376139,0.324925408,0.144007894,148,0.742867678,36,D121_O044,2,2,D121_O044_S02,9220394456994236977,3730431114911761611,D121_O044_S02_E02
D121,O039,1,60,0.25,48,0.232718262,0.17994217,0.033136716,1,0.784320075,37,D121_O039,1,1,D121_O039_S01,8756043554035690796,-4297820444873749735,D121_O039_S01_E01
D121,O039,1,60,0.25,48,0.232718262,0.17994217,0.033136716,1,0.784320075,38,D121_O039,1,2,D121_O039_S01,8756043554035690796,-3139848032517799438,D121_O039_S01_E02
D121,O039,1,60,0.25,48,0.232718262,0.17994217,0.033136716,1,0.784320075,39,D121_O039,2,1,D121_O039_S02,8017102449860179668,2311942862958683733,D121_O039_S02_E01
D121,O039,1,60,0.25,48,0.232718262,0.17994217,0.033136716,1,0.784320075,40,D121_O039,2,2,D121_O039_S02,8017102449860179668,-7407045305645417367,D121_O039_S02_E02
D121,O002,1,60,0.25,71,0.386957289,0.33590604,0.423756547,16,1.030814136,41,D121_O002,1,1,D121_O002_S01,-718607163524704230,5712162224441281574,D121_O002_S01_E01
D121,O002,1,60,0.25,71,0.386957289,0.33590604,0.423756547,16,1.030814136,42,D121_O002,1,2,D121_O002_S01,-718607163524704230,6925976721559875459,D121_O002_S01_E02
D121,O002,1,60,0.25,71,0.386957289,0.33590604,0.423756547,16,1.030814136,43,D121_O002,2,1,D121_O002_S02,4914813470604538094,-7144697650188159311,D121_O002_S02_E01
D121,O002,1,60,0.25,71,0.386957289,0.33590604,0.423756547,16,1.030814136,44,D121_O002,2,2,D121_O002_S02,4914813470604538094,5360678480432833615,D121_O002_S02_E02
D121,O040,1,60,0.25,585,0.392959459,0.39457393,0.498815231,30,0.847757244,45,D121_O040,1,1,D121_O040_S01,-8250261657299132370,5048027167992482002,D121_O040_S01_E01
D121,O040,1,60,0.25,585,0.392959459,0.39457393,0.498815231,30,0.847757244,46,D121_O040,1,2,D121_O040_S01,-8250261657299132370,4137596383399950864,D121_O040_S01_E02
D121,O040,1,60,0.25,585,0.392959459,0.39457393,0.498815231,30,0.847757244,47,D121_O040,2,1,D121_O040_S02,7126411182470656427,8150887867763223060,D121_O040_S02_E01
D121,O040,1,60,0.25,585,0.392959459,0.39457393,0.498815231,30,0.847757244,48,D121_O040,2,2,D121_O040_S02,7126411182470656427,-6448259262353327324,D121_O040_S02_E02
D121,O094,1,60,0.25,888,0.302089761,0.091469055,0.358945917,193,0.915650339,49,D121_O094,1,1,D121_O094_S01,8144415473608211182,367268207789049598,D121_O094_S01_E01
D121,O094,1,60,0.25,888,0.302089761,0.091469055,0.358945917,193,0.915650339,50,D121_O094,1,2,D121_O094_S01,8144415473608211182,-8570993926331819311,D121_O094_S01_E02
D121,O094,1,60,0.25,888,0.302089761,0.091469055,0.358945917,193,0.915650339,51,D121_O094,2,1,D121_O094_S02,-8288188274607960325,1690877205167274889,D121_O094_S02_E01
D121,O094,1,60,0.25,888,0.302089761,0.091469055,0.358945917,193,0.915650339,52,D121_O094,2,2,D121_O094_S02,-8288188274607960325,-8757295468044083623,D121_O094_S02_E02
D121,O081,1,60,0.25,229,0.311863322,0.040757227,0.190953924,6,0.52059127,53,D121_O081,1,1,D121_O081_S01,-4431965905549184064,-6931894229525277422,D121_O081_S01_E01
D121,O081,1,60,0.25,229,0.311863322,0.040757227,0.190953924,6,0.52059127,54,D121_O081,1,2,D121_O081_S01,-4431965905549184064,-1321833614031872339,D121_O081_S01_E02
D121,O081,1,60,0.25,229,0.311863322,0.040757227,0.190953924,6,0.52059127,55,D121_O081,2,1,D121_O081_S02,4053956560573972504,8127286277263664915,D121_O081_S02_E01
D121,O081,1,60,0.25,229,0.311863322,0.040757227,0.190953924,6,0.52059127,56,D121_O081,2,2,D121_O081_S02,4053956560573972504,-8270718629537675844,D121_O081_S02_E02
D121,O049,1,60,0.25,33,0.068127718,0.327197905,0.351458552,6,0.638016666,57,D121_O049,1,1,D121_O049_S01,-5442687201804484987,-1459535506503309651,D121_O049_S01_E01
D121,O049,1,60,0.25,33,0.068127718,0.327197905,0.351458552,6,0.638016666,58,D121_O049,1,2,D121_O049_S01,-5442687201804484987,-455783553767640139,D121_O049_S01_E02
D121,O049,1,60,0.25,33,0.068127718,0.327197905,0.351458552,6,0.638016666,59,D121_O049,2,1,D121_O049_S02,-552635495376172798,5313090187294696130,D121_O049_S02_E01
D121,O049,1,60,0.25,33,0.068127718,0.327197905,0.351458552,6,0.638016666,60,D121_O049,2,2,D121_O049_S02,-552635495376172798,-5569232482710297557,D121_O049_S02_E02
D121,O052,1,60,0.25,249,0.293109713,0.381495942,0.29384703,30,0.500330142,61,D121_O052,1,1,D121_O052_S01,3715396878116279029,3028478983657127156,D121_O052_S01_E01
D121,O052,1,60,0.25,249,0.293109713,0.381495942,0.29384703,30,0.500330142,62,D121_O052,1,2,D121_O052_S01,3715396878116279029,5989855248775176526,D121_O052_S01_E02
D121,O052,1,60,0.25,249,0.293109713,0.381495942,0.29384703,30,0.500330142,63,D121_O052,2,1,D121_O052_S02,-5951226331108205291,-8096650416599169591,D121_O052_S02_E01
D121,O052,1,60,0.25,249,0.293109713,0.381495942,0.29384703,30,0.500330142,64,D121_O052,2,2,D121_O052_S02,-5951226331108205291,8614660271511198542,D121_O052_S02_E02
