pair_id,design_id,operational_id,Hnode,Hlink,hashrate_concentration,validator_count,number_of_attackers,block_creation_interval,max_block_size,inbound_connections,outbound_connections
1,1,1,0.345,0.2125,0.6125,613,11,904,3.356166833,91,7
2,1,2,0.2675,0.23,0.4325,620,24,904,3.356166833,91,7
3,1,3,0.145,0.2175,0.3175,262,41,904,3.356166833,91,7
4,1,4,0.5775,0.1875,0.56,305,16,904,3.356166833,91,7
5,1,5,0.185,0.065,0.62,190,35,904,3.356166833,91,7
6,1,6,0.3375,0.15,0.25,912,144,904,3.356166833,91,7
7,1,7,0.51,0.0975,0.22,685,3,904,3.356166833,91,7
8,1,8,0.0725,0.0925,0.4025,370,89,904,3.356166833,91,7
9,1,9,0.2275,0.21,0.47,106,15,904,3.356166833,91,7
10,1,10,0.1075,0.1925,0.145,831,102,904,3.356166833,91,7
11,1,11,0.3775,0.0675,0.68,591,21,904,3.356166833,91,7
12,1,12,0.395,0.235,0.665,863,47,904,3.356166833,91,7
13,1,13,0.5275,0.385,0.6275,780,73,904,3.356166833,91,7
14,1,14,0.2175,0.28,0.44,433,24,904,3.356166833,91,7
15,1,15,0.4875,0.3075,0.455,672,83,904,3.356166833,91,7
16,1,16,0.4,0.3975,0.34,819,193,904,3.356166833,91,7
17,1,17,0.5375,0.295,0.1375,221,46,904,3.356166833,91,7
18,1,18,0.255,0.4,0.2575,290,35,904,3.356166833,91,7
19,1,19,0.3175,0.36,0.3475,117,2,904,3.356166833,91,7
20,1,20,0.305,0.2625,0.59,851,187,904,3.356166833,91,7
21,1,21,0.1225,0.1525,0.3325,333,8,904,3.356166833,91,7
22,1,22,0.2625,0.2525,0.5375,208,1,904,3.356166833,91,7
23,1,23,0.41,0.3325,0.3725,486,44,904,3.356166833,91,7
24,1,24,0.355,0.2275,0.19,278,59,904,3.356166833,91,7
25,1,25,0.3225,0.2775,0.4475,533,87,904,3.356166833,91,7
26,1,26,0.4225,0.075,0.1,876,174,904,3.356166833,91,7
27,1,27,0.295,0.1775,0.13,134,30,904,3.356166833,91,7
28,1,28,0.4425,0.3475,0.1825,762,113,904,3.356166833,91,7
29,1,29,0.195,0.2375,0.235,519,95,904,3.356166833,91,7
30,1,30,0.15,0.3825,0.65,1000,109,904,3.356166833,91,7
31,1,31,0.455,0.1625,0.2725,717,177,904,3.356166833,91,7
32,1,32,0.2725,0.1025,0.8,554,37,904,3.356166833,91,7
33,1,33,0.1625,0.08,0.1975,897,26,904,3.356166833,91,7
34,1,34,0.1125,0.34,0.635,661,135,904,3.356166833,91,7
35,1,35,0.45,0.2725,0.725,350,61,904,3.356166833,91,7
36,1,36,0.2125,0.355,0.53,326,80,904,3.356166833,91,7
37,1,37,0.24,0.26,0.6875,693,173,904,3.356166833,91,7
