config_id,Hnode,Hlink,block_creation_interval,hashrate_concentration,max_block_size,inbound_connections,outbound_connections,validator_count,number_of_attackers
1,6.079354535,9.010945456,235,0.344605264,4.253251635,25,2,982,0
2,9.805401683,1.113084406,540,0.058820987,6.406247195,96,5,827,31
3,4.083212903,9.928093045,60,0.149372213,0.653454181,101,4,680,29
4,5.871298553,5.019252615,64,0.286583685,5.734833837,87,3,402,58
5,5.100188793,2.921981042,258,0.39574875,4.8373998,3,5,475,42
6,6.534441253,2.369658199,300,0.944635009,3.505503599,11,5,411,63
7,7.50462581,5.470141565,100,0.387052135,7.052333147,44,3,180,30
8,0.619453023,9.56088537,530,0.196881586,2.337788773,4,7,556,125
9,2.419502619,8.985567998,424,0.555437232,5.874138936,115,4,136,28
10,4.86375354,2.539082396,356,0.777954576,5.708523376,124,4,378,0
11,6.717677775,0.858412857,257,0.709237958,7.525662537,63,2,939,101
12,7.122647429,0.418610102,505,0.44146826,1.598977766,98,2,423,54
13,9.661491459,6.616128473,347,0.309034184,1.485257672,92,2,920,230
14,7.646273022,6.196386896,369,0.211216986,1.946521689,115,3,846,122
15,1.603193151,0.733968535,547,0.956705762,5.112202076,79,5,581,90
16,5.732847905,4.278620528,580,0.83243453,0.791217685,94,6,943,115
17,7.08002491,0.391713882,196,0.938958655,3.017696872,7,3,499,30
18,7.303776039,8.5722502,262,0.571437532,7.553440484,105,2,705,76
19,2.442985542,7.821259231,92,0.385258155,4.293935256,17,5,425,82
20,1.858860831,8.405907254,513,0.621896076,7.674625623,66,7,181,26
21,8.101362309,3.824509757,489,0.283368142,5.501259606,95,1,904,120
22,1.107094066,4.872151832,260,0.133754484,0.712234153,25,7,400,27
23,5.887362899,6.139296075,123,0.180737869,6.822337831,94,4,879,110
24,0.106382358,6.789987716,93,0.866919047,1.996374507,30,6,873,0
25,8.750005057,7.923488576,578,0.877204844,0.679335295,45,7,929,187
26,9.308488793,4.490198474,413,0.38273205,3.906609165,48,8,451,42
27,3.355320124,8.379830105,157,0.726430473,3.41436117,18,4,330,18
28,1.614090762,7.276410797,176,0.81836023,1.235605141,45,1,617,65
29,1.259212842,6.176407144,161,0.371221807,0.500843184,44,3,193,24
30,0.638071649,8.885055373,127,0.800158059,0.797904308,83,2,771,127
31,3.43727169,4.951809784,164,0.190502358,7.152448925,114,3,505,64
32,0.479147594,3.168139194,405,0.673516601,6.926328477,75,7,430,71
33,7.950229692,7.08908705,493,0.117121643,0.959331119,6,4,395,76
34,6.895319888,0.183566345,571,0.920442007,2.278414441,45,5,205,21
35,2.883545132,8.739936647,448,0.414345984,1.588041369,58,6,588,0
36,7.846346171,8.754463136,257,0.186250354,6.090587495,113,7,550,122
37,3.675206095,8.898078771,456,0.270934555,1.015189777,21,2,800,200
38,9.626557762,4.908784364,142,0.107809809,4.653469512,98,7,155,31
39,1.990318051,7.905073654,218,0.24440977,7.876836581,108,5,994,184
40,9.462008432,2.085973296,109,0.25706803,7.976399207,53,8,403,80
41,1.348761523,9.621429275,598,0.047824582,5.095595425,74,4,919,138
42,0.802228668,7.668301863,557,0.23943954,2.75612618,114,1,985,159
43,1.478410268,1.055752223,210,0.90012772,2.159905327,63,6,372,93
44,4.219366346,1.107454124,130,0.452725852,3.770945245,109,5,889,0
45,2.57845709,3.299351129,499,0.527752286,1.153069363,100,4,943,0
46,1.120724835,4.706777635,343,0.828010352,1.821603115,112,4,254,14
47,0.442437726,9.980223194,283,0.600507971,3.300427834,50,7,460,115
48,0.316777173,2.167002681,562,0.572589455,1.771334163,42,6,593,0
49,8.025977208,6.023407992,158,0.227596436,0.403063683,56,1,524,116
50,7.719926783,0.936854502,516,0.543458482,0.557884706,45,2,46,9
51,9.761312287,8.839032577,62,0.619653744,2.651078324,56,3,730,0
52,1.413999115,0.26686622,225,0.603563177,6.384860903,5,2,357,48
53,3.071833179,9.673134616,179,0.74158836,7.470765564,100,8,760,95
54,2.345102447,9.947834343,170,0.879182434,4.847373863,122,5,244,27
55,3.654612173,9.817333261,543,0.475851885,2.812118966,35,2,787,88
56,6.642926941,6.88285792,431,0.360865104,0.583052542,114,2,620,96
57,6.400265666,2.644432858,99,0.784492991,3.168281948,65,4,143,27
58,0.669924689,1.281384225,238,0.004831804,6.128488265,80,3,81,15
59,4.769758465,1.75130336,207,0.205270161,0.328144348,51,2,781,0
60,5.570632954,6.481094939,249,0.358302416,4.500533807,69,1,712,32
