design_id,overload_condition_id,source_operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,relative_transaction_load,number_of_attackers
D001,S001,O004,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,1.05,12
D001,S002,O061,8,474,7.230124069,27,0.381805437,0.01616482,0.491613692,1.05,4
D001,S003,O084,8,474,7.230124069,797,0.372992677,0.000386491,0.00152113,1.05,169
D001,S004,O040,8,474,7.230124069,585,0.392959459,0.39457393,0.498815231,1.05,30
D001,S005,O074,8,474,7.230124069,36,0.042568944,0.004280635,0.087293441,1.05,3
D001,S006,O014,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,1.05,126
D001,S007,O095,8,474,7.230124069,29,0.365502327,0.314203797,0.177999519,1.05,3
D001,S008,O008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,1.05,4
D001,S009,O044,8,474,7.230124069,721,0.432376139,0.324925408,0.144007894,1.05,148
D001,S010,O071,8,474,7.230124069,830,0.025772238,0.059916076,0.006124037,1.05,1
D001,S011,O005,8,474,7.230124069,472,0.458927508,0.08115278,0.018055532,1.05,8
D001,S012,O094,8,474,7.230124069,888,0.302089761,0.091469055,0.358945917,1.05,193
D001,S013,O049,8,474,7.230124069,33,0.068127718,0.327197905,0.351458552,1.05,6
D001,S014,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,1.05,16
D001,S015,O009,8,474,7.230124069,39,0.272204984,0.243100415,0.446678,1.05,1
D001,S016,O096,8,474,7.230124069,91,0.16170145,0.264353919,0.069555674,1.05,20
D001,S017,O067,8,474,7.230124069,60,0.359928689,0.02076874,0.174232425,1.05,6
D001,S018,O037,8,474,7.230124069,232,0.083660283,0.374766445,0.463420281,1.05,16
D001,S019,O039,8,474,7.230124069,48,0.232718262,0.17994217,0.033136716,1.05,1
D001,S020,O029,8,474,7.230124069,744,0.31398409,0.144642217,0.380464816,1.05,47
D001,S021,O055,8,474,7.230124069,143,0.09821222,0.163666817,0.285033773,1.05,17
D001,S022,O075,8,474,7.230124069,31,0.495260113,0.154710174,0.269857669,1.05,5
D001,S023,O052,8,474,7.230124069,249,0.293109713,0.381495942,0.29384703,1.05,30
D001,S024,O020,8,474,7.230124069,113,0.348269976,0.095285863,0.409466489,1.05,28
D001,S025,O023,8,474,7.230124069,410,0.214451437,0.12789836,0.094002538,1.05,34
D001,S026,O069,8,474,7.230124069,600,0.193256125,0.259153683,0.18565311,1.05,107
D001,S027,O054,8,474,7.230124069,70,0.483939677,0.225369653,0.039302168,1.05,11
D001,S028,O063,8,474,7.230124069,159,0.167777479,0.069957712,0.130372357,1.05,38
D001,S029,O058,8,474,7.230124069,22,0.090722232,0.036785238,0.101049312,1.05,4
D001,S030,O042,8,474,7.230124069,533,0.049123846,0.273615249,0.271891148,1.05,28
D001,S031,O083,8,474,7.230124069,89,0.002629244,0.11891721,0.012340148,1.05,13
D001,S032,O086,8,474,7.230124069,135,0.469888219,0.056365997,0.043821459,1.05,28
D002,S001,O004,3,167,1.576274442,544,0.015441285,0.39993713,0.047767101,1.05,12
D002,S002,O061,3,167,1.576274442,27,0.381805437,0.01616482,0.491613692,1.05,4
D002,S003,O084,3,167,1.576274442,797,0.372992677,0.000386491,0.00152113,1.05,169
D002,S004,O040,3,167,1.576274442,585,0.392959459,0.39457393,0.498815231,1.05,30
D002,S005,O074,3,167,1.576274442,36,0.042568944,0.004280635,0.087293441,1.05,3
D002,S006,O014,3,167,1.576274442,505,0.055050564,0.385744929,0.323573274,1.05,126
D002,S007,O095,3,167,1.576274442,29,0.365502327,0.314203797,0.177999519,1.05,3
D002,S008,O008,3,167,1.576274442,217,0.118365868,0.010264005,0.438577644,1.05,4
D002,S009,O044,3,167,1.576274442,721,0.432376139,0.324925408,0.144007894,1.05,148
D002,S010,O071,3,167,1.576274442,830,0.025772238,0.059916076,0.006124037,1.05,1
D002,S011,O005,3,167,1.576274442,472,0.458927508,0.08115278,0.018055532,1.05,8
D002,S012,O094,3,167,1.576274442,888,0.302089761,0.091469055,0.358945917,1.05,193
D002,S013,O049,3,167,1.576274442,33,0.068127718,0.327197905,0.351458552,1.05,6
D002,S014,O002,3,167,1.576274442,71,0.386957289,0.33590604,0.423756547,1.05,16
D002,S015,O009,3,167,1.576274442,39,0.272204984,0.243100415,0.446678,1.05,1
D002,S016,O096,3,167,1.576274442,91,0.16170145,0.264353919,0.069555674,1.05,20
D002,S017,O067,3,167,1.576274442,60,0.359928689,0.02076874,0.174232425,1.05,6
D002,S018,O037,3,167,1.576274442,232,0.083660283,0.374766445,0.463420281,1.05,16
D002,S019,O039,3,167,1.576274442,48,0.232718262,0.17994217,0.033136716,1.05,1
D002,S020,O029,3,167,1.576274442,744,0.31398409,0.144642217,0.380464816,1.05,47
D002,S021,O055,3,167,1.576274442,143,0.09821222,0.163666817,0.285033773,1.05,17
D002,S022,O075,3,167,1.576274442,31,0.495260113,0.154710174,0.269857669,1.05,5
D002,S023,O052,3,167,1.576274442,249,0.293109713,0.381495942,0.29384703,1.05,30
D002,S024,O020,3,167,1.576274442,113,0.348269976,0.095285863,0.409466489,1.05,28
D002,S025,O023,3,167,1.576274442,410,0.214451437,0.12789836,0.094002538,1.05,34
D002,S026,O069,3,167,1.576274442,600,0.193256125,0.259153683,0.18565311,1.05,107
D002,S027,O054,3,167,1.576274442,70,0.483939677,0.225369653,0.039302168,1.05,11
D002,S028,O063,3,167,1.576274442,159,0.167777479,0.069957712,0.130372357,1.05,38
D002,S029,O058,3,167,1.576274442,22,0.090722232,0.036785238,0.101049312,1.05,4
D002,S030,O042,3,167,1.576274442,533,0.049123846,0.273615249,0.271891148,1.05,28
D002,S031,O083,3,167,1.576274442,89,0.002629244,0.11891721,0.012340148,1.05,13
D002,S032,O086,3,167,1.576274442,135,0.469888219,0.056365997,0.043821459,1.05,28
D003,S001,O004,1,385,1.754386103,544,0.015441285,0.39993713,0.047767101,1.05,12
D003,S002,O061,1,385,1.754386103,27,0.381805437,0.01616482,0.491613692,1.05,4
D003,S003,O084,1,385,1.754386103,797,0.372992677,0.000386491,0.00152113,1.05,169
D003,S004,O040,1,385,1.754386103,585,0.392959459,0.39457393,0.498815231,1.05,30
D003,S005,O074,1,385,1.754386103,36,0.042568944,0.004280635,0.087293441,1.05,3
D003,S006,O014,1,385,1.754386103,505,0.055050564,0.385744929,0.323573274,1.05,126
D003,S007,O095,1,385,1.754386103,29,0.365502327,0.314203797,0.177999519,1.05,3
D003,S008,O008,1,385,1.754386103,217,0.118365868,0.010264005,0.438577644,1.05,4
D003,S009,O044,1,385,1.754386103,721,0.432376139,0.324925408,0.144007894,1.05,148
D003,S010,O071,1,385,1.754386103,830,0.025772238,0.059916076,0.006124037,1.05,1
D003,S011,O005,1,385,1.754386103,472,0.458927508,0.08115278,0.018055532,1.05,8
D003,S012,O094,1,385,1.754386103,888,0.302089761,0.091469055,0.358945917,1.05,193
D003,S013,O049,1,385,1.754386103,33,0.068127718,0.327197905,0.351458552,1.05,6
D003,S014,O002,1,385,1.754386103,71,0.386957289,0.33590604,0.423756547,1.05,16
D003,S015,O009,1,385,1.754386103,39,0.272204984,0.243100415,0.446678,1.05,1
D003,S016,O096,1,385,1.754386103,91,0.16170145,0.264353919,0.069555674,1.05,20
D003,S017,O067,1,385,1.754386103,60,0.359928689,0.02076874,0.174232425,1.05,6
D003,S018,O037,1,385,1.754386103,232,0.083660283,0.374766445,0.463420281,1.05,16
D003,S019,O039,1,385,1.754386103,48,0.232718262,0.17994217,0.033136716,1.05,1
