design_id,overload_condition_id,source_operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,fraction_of_attackers,number_of_attackers,realized_fraction_of_attackers,number_of_attackers,transaction_arrival_rate
D001,S001,O004,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,32.03219524
D001,S002,O061,8,474,7.230124069,27,0.381805437,0.01616482,0.491613692,0.151708312,4,0.148148148,4,32.03219524
D001,S003,O084,8,474,7.230124069,797,0.372992677,0.000386491,0.00152113,0.212119634,169,0.212045169,169,32.03219524
D001,S004,O040,8,474,7.230124069,585,0.392959459,0.39457393,0.498815231,0.051359523,30,0.051282051,30,32.03219524
D001,S005,O074,8,474,7.230124069,36,0.042568944,0.004280635,0.087293441,0.071484542,3,0.083333333,3,32.03219524
D001,S006,O014,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,0.249191993,126,0.24950495,126,32.03219524
D001,S007,O095,8,474,7.230124069,29,0.365502327,0.314203797,0.177999519,0.10606856,3,0.103448276,3,32.03219524
D001,S008,O008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,0.018412668,4,0.01843318,4,32.03219524
D001,S009,O044,8,474,7.230124069,721,0.432376139,0.324925408,0.144007894,0.205765142,148,0.205270458,148,32.03219524
D001,S010,O071,8,474,7.230124069,830,0.025772238,0.059916076,0.006124037,0.001567019,1,0.001204819,1,32.03219524
D001,S011,O005,8,474,7.230124069,472,0.458927508,0.08115278,0.018055532,0.016407342,8,0.016949153,8,32.03219524
D001,S012,O094,8,474,7.230124069,888,0.302089761,0.091469055,0.358945917,0.217188865,193,0.217342342,193,32.03219524
D001,S013,O049,8,474,7.230124069,33,0.068127718,0.327197905,0.351458552,0.169586651,6,0.181818182,6,32.03219524
D001,S014,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,0.22899681,16,0.225352113,16,32.03219524
D001,S015,O009,8,474,7.230124069,39,0.272204984,0.243100415,0.446678,0.00746125,0,0,0,32.03219524
D001,S016,O096,8,474,7.230124069,91,0.16170145,0.264353919,0.069555674,0.222330663,20,0.21978022,20,32.03219524
D001,S017,O067,8,474,7.230124069,60,0.359928689,0.02076874,0.174232425,0.096510536,6,0.1,6,32.03219524
D001,S018,O037,8,474,7.230124069,232,0.083660283,0.374766445,0.463420281,0.068421776,16,0.068965517,16,32.03219524
D001,S019,O039,8,474,7.230124069,48,0.232718262,0.17994217,0.033136716,0.009267723,0,0,0,32.03219524
D001,S020,O029,8,474,7.230124069,744,0.31398409,0.144642217,0.380464816,0.06366778,47,0.063172043,47,32.03219524
D001,S021,O055,8,474,7.230124069,143,0.09821222,0.163666817,0.285033773,0.115819652,17,0.118881119,17,32.03219524
D001,S022,O075,8,474,7.230124069,31,0.495260113,0.154710174,0.269857669,0.172977533,5,0.161290323,5,32.03219524
D001,S023,O052,8,474,7.230124069,249,0.293109713,0.381495942,0.29384703,0.118940555,30,0.120481928,30,32.03219524
D001,S024,O020,8,474,7.230124069,113,0.348269976,0.095285863,0.409466489,0.246401698,28,0.247787611,28,32.03219524
D001,S025,O023,8,474,7.230124069,410,0.214451437,0.12789836,0.094002538,0.083652687,34,0.082926829,34,32.03219524
D001,S026,O069,8,474,7.230124069,600,0.193256125,0.259153683,0.18565311,0.177689975,107,0.178333333,107,32.03219524
D001,S027,O054,8,474,7.230124069,70,0.483939677,0.225369653,0.039302168,0.158400508,11,0.157142857,11,32.03219524
D001,S028,O063,8,474,7.230124069,159,0.167777479,0.069957712,0.130372357,0.236705609,38,0.238993711,38,32.03219524
D001,S029,O058,8,474,7.230124069,22,0.090722232,0.036785238,0.101049312,0.19363293,4,0.181818182,4,32.03219524
D001,S030,O042,8,474,7.230124069,533,0.049123846,0.273615249,0.271891148,0.05266066,28,0.052532833,28,32.03219524
D001,S031,O083,8,474,7.230124069,89,0.002629244,0.11891721,0.012340148,0.1423155,13,0.146067416,13,32.03219524
D001,S032,O086,8,474,7.230124069,135,0.469888219,0.056365997,0.043821459,0.204201288,28,0.207407407,28,32.03219524
D002,S001,O004,3,167,1.576274442,544,0.015441285,0.39993713,0.047767101,0.021638756,12,0.022058824,12,19.82141514
D002,S002,O061,3,167,1.576274442,27,0.381805437,0.01616482,0.491613692,0.151708312,4,0.148148148,4,19.82141514
D002,S003,O084,3,167,1.576274442,797,0.372992677,0.000386491,0.00152113,0.212119634,169,0.212045169,169,19.82141514
D002,S004,O040,3,167,1.576274442,585,0.392959459,0.39457393,0.498815231,0.051359523,30,0.051282051,30,19.82141514
D002,S005,O074,3,167,1.576274442,36,0.042568944,0.004280635,0.087293441,0.071484542,3,0.083333333,3,19.82141514
D002,S006,O014,3,167,1.576274442,505,0.055050564,0.385744929,0.323573274,0.249191993,126,0.24950495,126,19.82141514
D002,S007,O095,3,167,1.576274442,29,0.365502327,0.314203797,0.177999519,0.10606856,3,0.103448276,3,19.82141514
D002,S008,O008,3,167,1.576274442,217,0.118365868,0.010264005,0.438577644,0.018412668,4,0.01843318,4,19.82141514
D002,S009,O044,3,167,1.576274442,721,0.432376139,0.324925408,0.144007894,0.205765142,148,0.205270458,148,19.82141514
