design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,transaction_arrival_rate,execution_index,manifest_pair_id,network_instance,event_replication,network_realization_id,network_seed,event_seed,run_id
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.348095277,1,D121_O006,1,1,D121_O006_S01,2910923075086698188,6564032407923788178,D121_O006_S01_E01
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.348095277,2,D121_O006,1,2,D121_O006_S01,2910923075086698188,-4276839240908640736,D121_O006_S01_E02
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.348095277,3,D121_O006,2,1,D121_O006_S02,-7585080766195479661,-1314058422830247507,D121_O006_S02_E01
D121,O006,1,60,0.25,26,0.466438896,0.19990199,0.36047691,5,0.348095277,4,D121_O006,2,2,D121_O006_S02,-7585080766195479661,-4301714480921027086,D121_O006_S02_E02
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,27.136745,5,D121_O071,1,1,D121_O071_S01,4796468689162417029,5668925292198642984,D121_O071_S01_E01
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,27.136745,6,D121_O071,1,2,D121_O071_S01,4796468689162417029,2726528008949980572,D121_O071_S01_E02
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,27.136745,7,D121_O071,2,1,D121_O071_S02,9038356160178981263,303645372647423268,D121_O071_S02_E01
D121,O071,1,60,0.25,830,0.025772238,0.059916076,0.006124037,1,27.136745,8,D121_O071,2,2,D121_O071_S02,9038356160178981263,-7260264965883722217,D121_O071_S02_E02
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,110.1770912,9,D121_O014,1,1,D121_O014_S01,-3197781986379262631,-8575649248111009700,D121_O014_S01_E01
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,110.1770912,10,D121_O014,1,2,D121_O014_S01,-3197781986379262631,1333356282403895705,D121_O014_S01_E02
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,110.1770912,11,D121_O014,2,1,D121_O014_S02,-5791938828943069206,2028521497095117082,D121_O014_S02_E01
D121,O014,1,60,0.25,505,0.055050564,0.385744929,0.323573274,126,110.1770912,12,D121_O014,2,2,D121_O014_S02,-5791938828943069206,-3369841356043654628,D121_O014_S02_E02
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,164.8324972,13,D121_O017,1,1,D121_O017_S01,446837159059662839,-8260791658810104402,D121_O017_S01_E01
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,164.8324972,14,D121_O017,1,2,D121_O017_S01,446837159059662839,-6114357613183566752,D121_O017_S01_E02
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,164.8324972,15,D121_O017,2,1,D121_O017_S02,1978680189161219142,-4649997523075908596,D121_O017_S02_E01
D121,O017,1,60,0.25,47,0.235947901,0.205558573,0.450421949,1,164.8324972,16,D121_O017,2,2,D121_O017_S02,1978680189161219142,3004909110167281623,D121_O017_S02_E02
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,104.8428427,17,D121_O086,1,1,D121_O086_S01,3518067532353930230,-347838193767867678,D121_O086_S01_E01
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,104.8428427,18,D121_O086,1,2,D121_O086_S01,3518067532353930230,-5492890830953521160,D121_O086_S01_E02
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,104.8428427,19,D121_O086,2,1,D121_O086_S02,-816974005299451087,8780280190575222432,D121_O086_S02_E01
D121,O086,1,60,0.25,135,0.469888219,0.056365997,0.043821459,28,104.8428427,20,D121_O086,2,2,D121_O086_S02,-816974005299451087,2242474412821916996,D121_O086_S02_E02
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.497358766,21,D121_O068,1,1,D121_O068_S01,-8055975384752740300,1557072724449450156,D121_O068_S01_E01
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.497358766,22,D121_O068,1,2,D121_O068_S01,-8055975384752740300,-3495417638752676941,D121_O068_S01_E02
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.497358766,23,D121_O068,2,1,D121_O068_S02,8164333265580764898,1685410799065455160,D121_O068_S02_E01
D121,O068,1,60,0.25,871,0.148525779,0.2389906,0.43126666,22,0.497358766,24,D121_O068,2,2,D121_O068_S02,8164333265580764898,-5809934117214679484,D121_O068_S02_E02
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,1.078517773,25,D121_O088,1,1,D121_O088_S01,8488894505565457153,-1907061383642445755,D121_O088_S01_E01
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,1.078517773,26,D121_O088,1,2,D121_O088_S01,8488894505565457153,9162326906446012523,D121_O088_S01_E02
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,1.078517773,27,D121_O088,2,1,D121_O088_S02,3716263158618377650,5900629456114303627,D121_O088_S02_E01
D121,O088,1,60,0.25,74,0.028069089,0.054085246,0.202673962,14,1.078517773,28,D121_O088,2,2,D121_O088_S02,3716263158618377650,1919848011700964628,D121_O088_S02_E02
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,1.106719372,29,D121_O004,1,1,D121_O004_S01,7557603903933278086,7204823166104451876,D121_O004_S01_E01
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,1.106719372,30,D121_O004,1,2,D121_O004_S01,7557603903933278086,-8023421701415722430,D121_O004_S01_E02
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,1.106719372,31,D121_O004,2,1,D121_O004_S02,-8538449545035660177,-389710414963117988,D121_O004_S02_E01
D121,O004,1,60,0.25,544,0.015441285,0.39993713,0.047767101,12,1.106719372,32,D121_O004,2,2,D121_O004_S02,-8538449545035660177,5201083079123855951,D121_O004_S02_E02
