design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,transaction_arrival_rate,execution_index,manifest_pair_id,network_instance,event_replication,network_realization_id,network_seed,event_seed,run_id
D121,O063,1,60,0.25,159,0.167777479,0.069957712,0.130372357,38,93.05161657,109,D121_O063,1,1,D121_O063_S01,5815620882560704612,6176937433923542383,D121_O063_S01_E01
D128,O068,8,1200,8.0,871,0.148525779,0.2389906,0.43126666,22,0.497358766,213,D128_O068,1,1,D128_O068_S01,-794789609843313484,-7704954211540885549,D128_O068_S01_E01
D128,O043,8,1200,8.0,936,0.154267686,0.332919895,0.389161836,211,3.031297441,313,D128_O043,1,1,D128_O043_S01,5397738689222195692,2696586553437278931,D128_O043_S01_E01
D128,O084,8,1200,8.0,797,0.372992677,0.000386491,0.00152113,169,183.7215225,345,D128_O084,1,1,D128_O084_S01,2262195141596935023,8123886192812793735,D128_O084_S01_E01
D118,O002,4,1114,0.319192161,71,0.386957289,0.33590604,0.423756547,16,307.2750649,617,D118_O002,1,1,D118_O002_S01,2751531577342366997,8086231272629518935,D118_O002_S01_E01
D118,O011,4,1114,0.319192161,163,0.257766277,0.230369452,0.067376828,24,353.5178995,657,D118_O011,1,1,D118_O011_S01,5812247870287258211,2487200642224202325,D118_O011_S01_E01
D127,O068,8,1200,0.25,871,0.148525779,0.2389906,0.43126666,22,0.497358766,2325,D127_O068,1,1,D127_O068_S01,-1580537230917991415,-2531757632992590749,D127_O068_S01_E01
D127,O002,8,1200,0.25,71,0.386957289,0.33590604,0.423756547,16,307.2750649,2345,D127_O002,1,1,D127_O002_S01,-5578776960464198034,4884662883884446447,D127_O002_S01_E01
D127,O094,8,1200,0.25,888,0.302089761,0.091469055,0.358945917,193,63.10170114,2353,D127_O094,1,1,D127_O094_S01,2920122183884060613,5618150160277823955,D127_O094_S01_E01
D127,O011,8,1200,0.25,163,0.257766277,0.230369452,0.067376828,24,353.5178995,2385,D127_O011,1,1,D127_O011_S01,-4014251808062367609,-4084501165389103160,D127_O011_S01_E01
D127,O043,8,1200,0.25,936,0.154267686,0.332919895,0.389161836,211,3.031297441,2425,D127_O043,1,1,D127_O043_S01,5258929933597466035,-368110669849234260,D127_O043_S01_E01
D127,O020,8,1200,0.25,113,0.348269976,0.095285863,0.409466489,28,177.5293199,2429,D127_O020,1,1,D127_O020_S01,-8052534689131659366,7894140202556771369,D127_O020_S01_E01
D127,O084,8,1200,0.25,797,0.372992677,0.000386491,0.00152113,169,183.7215225,2457,D127_O084,1,1,D127_O084_S01,-6482704356501001451,-5713445913657914812,D127_O084_S01_E01
D123,O002,1,1200,0.25,71,0.386957289,0.33590604,0.423756547,16,307.2750649,2921,D123_O002,1,1,D123_O002_S01,3981150769062294591,-8134898027185738745,D123_O002_S01_E01
D123,O011,1,1200,0.25,163,0.257766277,0.230369452,0.067376828,24,353.5178995,2961,D123_O011,1,1,D123_O011_S01,592707577977050866,-7896910336146021797,D123_O011_S01_E01
D043,O043,7,1175,2.004291591,936,0.154267686,0.332919895,0.389161836,211,3.031297441,3769,D043_O043,1,1,D043_O043_S01,4266597272268024859,3432299166026721406,D043_O043_S01_E01
D043,O084,7,1175,2.004291591,797,0.372992677,0.000386491,0.00152113,169,183.7215225,3801,D043_O084,1,1,D043_O084_S01,-7718813076593688860,7854842816617937589,D043_O084_S01_E01
D001,O043,8,474,7.230124069,936,0.154267686,0.332919895,0.389161836,211,3.031297441,5689,D001_O043,1,1,D001_O043_S01,-8531747513509186390,-3155199275936563262,D001_O043_S01_E01
D116,O043,4,1043,7.936094537,936,0.154267686,0.332919895,0.389161836,211,3.031297441,6841,D116_O043,1,1,D116_O043_S01,-4168284105620774649,7781801495953495946,D116_O043_S01_E01
D116,O084,4,1043,7.936094537,797,0.372992677,0.000386491,0.00152113,169,183.7215225,6873,D116_O084,1,1,D116_O084_S01,5388047703771389204,6806326788673797450,D116_O084_S01_E01
D078,O043,8,257,1.020754365,936,0.154267686,0.332919895,0.389161836,211,3.031297441,8185,D078_O043,1,1,D078_O043_S01,-1962089293470547275,-5923041250815863718,D078_O043_S01_E01
D056,O063,8,119,4.76031618,159,0.167777479,0.069957712,0.130372357,38,93.05161657,9325,D056_O063,1,1,D056_O063_S01,-8119105722025463761,-3880497895740055696,D056_O063_S01_E01
D056,O020,8,119,4.76031618,113,0.348269976,0.095285863,0.409466489,28,177.5293199,9341,D056_O020,1,1,D056_O020_S01,8885812968049921401,1081221976637254871,D056_O020_S01_E01
D056,O038,8,119,4.76031618,765,0.137328547,0.153890662,0.395745604,73,17.92553553,9345,D056_O038,1,1,D056_O038_S01,6673518524966817598,-3476393725104377494,D056_O038_S01_E01
D056,O010,8,119,4.76031618,78,0.42428609,0.04657399,0.47291634,6,42.11936173,9349,D056_O010,1,1,D056_O010_S01,-8656077297059270031,-5448165197061093958,D056_O010_S01_E01
D056,O053,8,119,4.76031618,251,0.008437374,0.219704544,0.077608614,11,28.50121375,9353,D056_O053,1,1,D056_O053_S01,5379697986076548080,5278493929120976098,D056_O053_S01_E01
D056,O032,8,119,4.76031618,449,0.47407037,0.293964396,0.333868972,86,0.300780128,9357,D056_O032,1,1,D056_O032_S01,1386493053333792555,5680313806078513863,D056_O032_S01_E01
D119,O043,8,92,0.389339241,936,0.154267686,0.332919895,0.389161836,211,3.031297441,12025,D119_O043,1,1,D119_O043_S01,-8592212325459828473,5557152906799622096,D119_O043_S01_E01
