design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,transaction_arrival_rate,execution_index,manifest_pair_id,network_instance,event_replication,network_realization_id,network_seed,event_seed,run_id
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,3.031297441,121,D121_O043,1,1,D121_O043_S01,-7213483773318354529,2694629122998598174,D121_O043_S01_E01
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,3.031297441,122,D121_O043,1,2,D121_O043_S01,-7213483773318354529,-585571296581056048,D121_O043_S01_E02
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,3.031297441,123,D121_O043,2,1,D121_O043_S02,8403721504319890245,5898448127894904563,D121_O043_S02_E01
D121,O043,1,60,0.25,936,0.154267686,0.332919895,0.389161836,211,3.031297441,124,D121_O043,2,2,D121_O043_S02,8403721504319890245,5452129570918217479,D121_O043_S02_E02
D122,O011,1,60,8.0,163,0.257766277,0.230369452,0.067376828,24,353.5178995,1043,D122_O011,2,1,D122_O011_S02,-3497790589494448136,-4878642795554868771,D122_O011_S02_E01
D122,O084,1,60,8.0,797,0.372992677,0.000386491,0.00152113,169,183.7215225,1116,D122_O084,2,2,D122_O084_S02,-6324955557983700682,5145308226098084640,D122_O084_S02_E02
D126,O017,8,60,8.0,47,0.235947901,0.205558573,0.450421949,1,164.8324972,1935,D126_O017,2,1,D126_O017_S02,78180526987586965,-8971017803070517758,D126_O017_S02_E01
D126,O044,8,60,8.0,721,0.432376139,0.324925408,0.144007894,148,5.8693638,1956,D126_O044,2,2,D126_O044_S02,-7545912437793647964,-3873101753006322128,D126_O044_S02_E02
D126,O084,8,60,8.0,797,0.372992677,0.000386491,0.00152113,169,183.7215225,2076,D126_O084,2,2,D126_O084_S02,-4565324422150732760,2879049468138997576,D126_O084_S02_E02
D127,O011,8,1200,0.25,163,0.257766277,0.230369452,0.067376828,24,353.5178995,2387,D127_O011,2,1,D127_O011_S02,-5862146306607686686,7860094138928690295,D127_O011_S02_E01
D127,O084,8,1200,0.25,797,0.372992677,0.000386491,0.00152113,169,183.7215225,2460,D127_O084,2,2,D127_O084_S02,4637849203352647651,4941792940281679535,D127_O084_S02_E02
D123,O044,1,1200,0.25,721,0.432376139,0.324925408,0.144007894,148,5.8693638,2916,D123_O044,2,2,D123_O044_S02,-7672589391378577156,-5996724679512851109,D123_O044_S02_E02
D123,O011,1,1200,0.25,163,0.257766277,0.230369452,0.067376828,24,353.5178995,2962,D123_O011,1,2,D123_O011_S01,592707577977050866,3045959407635739378,D123_O011_S01_E02
D123,O084,1,1200,0.25,797,0.372992677,0.000386491,0.00152113,169,183.7215225,3036,D123_O084,2,2,D123_O084_S02,2832029967304686083,613171036486289479,D123_O084_S02_E02
D125,O084,8,60,0.25,797,0.372992677,0.000386491,0.00152113,169,183.7215225,3612,D125_O084,2,2,D125_O084_S02,-1221794160235772911,-192098165139036303,D125_O084_S02_E02
D114,O011,6,941,5.269639679,163,0.257766277,0.230369452,0.067376828,24,353.5178995,5460,D114_O011,2,2,D114_O011_S02,-6040475418181756172,6607788772793471397,D114_O011_S02_E02
D116,O011,4,1043,7.936094537,163,0.257766277,0.230369452,0.067376828,24,353.5178995,6804,D116_O011,2,2,D116_O011_S02,5497519444795129406,-8749321706696473115,D116_O011_S02_E02
D116,O084,4,1043,7.936094537,797,0.372992677,0.000386491,0.00152113,169,183.7215225,6876,D116_O084,2,2,D116_O084_S02,-243457922001981487,4144514124198922126,D116_O084_S02_E02
D119,O084,8,92,0.389339241,797,0.372992677,0.000386491,0.00152113,169,183.7215225,12060,D119_O084,2,2,D119_O084_S02,5578839734604925445,3529127121118875328,D119_O084_S02_E02
