"design_id","operational_id","connection_count","block_creation_interval","maximum_block_size","validating_node_count","node_bandwidth_heterogeneity","link_bandwidth_heterogeneity","hashing_power_concentration","number_of_attackers","transaction_arrival_rate","execution_index","manifest_pair_id","network_instance","event_replication","network_realization_id","network_seed","event_seed","run_id"
"D121","O007","1","60","0.25","20","0.141130372","0.138764594","0.166622366","2","142.090871","85","D121_O007","1","1","D121_O007_S01","8643279336672724295","1578601653361889108","D121_O007_S01_E01"
"D121","O063","1","60","0.25","159","0.167777479","0.069957712","0.130372357","38","93.05161657","109","D121_O063","1","1","D121_O063_S01","5815620882560704612","6176937433923542383","D121_O063_S01_E01"
"D121","O043","1","60","0.25","936","0.154267686","0.332919895","0.389161836","211","3.031297441","121","D121_O043","1","1","D121_O043_S01","-7213483773318354529","2694629122998598174","D121_O043_S01_E01"
"D121","O032","1","60","0.25","449","0.47407037","0.293964396","0.333868972","86","0.300780128","141","D121_O032","1","1","D121_O032_S01","-86379245352874606","-2457518798949636491","D121_O032_S01_E01"
"D128","O068","8","1200","8.0","871","0.148525779","0.2389906","0.43126666","22","0.497358766","213","D128_O068","1","1","D128_O068_S01","-794789609843313484","-7704954211540885549","D128_O068_S01_E01"
"D128","O094","8","1200","8.0","888","0.302089761","0.091469055","0.358945917","193","63.10170114","241","D128_O094","1","1","D128_O094_S01","-8035376827518829378","4191074261481559134","D128_O094_S01_E01"
"D128","O043","8","1200","8.0","936","0.154267686","0.332919895","0.389161836","211","3.031297441","313","D128_O043","1","1","D128_O043_S01","5397738689222195692","2696586553437278931","D128_O043_S01_E01"
"D128","O084","8","1200","8.0","797","0.372992677","0.000386491","0.00152113","169","183.7215225","345","D128_O084","1","1","D128_O084_S01","2262195141596935023","8123886192812793735","D128_O084_S01_E01"
"D118","O002","4","1114","0.319192161","71","0.386957289","0.33590604","0.423756547","16","307.2750649","617","D118_O002","1","1","D118_O002_S01","2751531577342366997","8086231272629518935","D118_O002_S01_E01"
"D118","O011","4","1114","0.319192161","163","0.257766277","0.230369452","0.067376828","24","353.5178995","657","D118_O011","1","1","D118_O011_S01","5812247870287258211","2487200642224202325","D118_O011_S01_E01"
"D118","O084","4","1114","0.319192161","797","0.372992677","0.000386491","0.00152113","169","183.7215225","729","D118_O084","1","1","D118_O084_S01","-1516353061941838758","-3689551229116089380","D118_O084_S01_E01"
"D122","O043","1","60","8.0","936","0.154267686","0.332919895","0.389161836","211","3.031297441","1081","D122_O043","1","1","D122_O043_S01","3899341530851404881","933859827026182738","D122_O043_S01_E01"
"D097","O084","8","515","0.943725711","797","0.372992677","0.000386491","0.00152113","169","183.7215225","1497","D097_O084","1","1","D097_O084_S01","39278327014778235","-8542094899689029860","D097_O084_S01_E01"
"D127","O068","8","1200","0.25","871","0.148525779","0.2389906","0.43126666","22","0.497358766","2325","D127_O068","1","1","D127_O068_S01","-1580537230917991415","-2531757632992590749","D127_O068_S01_E01"
"D127","O002","8","1200","0.25","71","0.386957289","0.33590604","0.423756547","16","307.2750649","2345","D127_O002","1","1","D127_O002_S01","-5578776960464198034","4884662883884446447","D127_O002_S01_E01"
"D127","O094","8","1200","0.25","888","0.302089761","0.091469055","0.358945917","193","63.10170114","2353","D127_O094","1","1","D127_O094_S01","2920122183884060613","5618150160277823955","D127_O094_S01_E01"
"D127","O011","8","1200","0.25","163","0.257766277","0.230369452","0.067376828","24","353.5178995","2385","D127_O011","1","1","D127_O011_S01","-4014251808062367609","-4084501165389103160","D127_O011_S01_E01"
"D127","O043","8","1200","0.25","936","0.154267686","0.332919895","0.389161836","211","3.031297441","2425","D127_O043","1","1","D127_O043_S01","5258929933597466035","-368110669849234260","D127_O043_S01_E01"
"D127","O020","8","1200","0.25","113","0.348269976","0.095285863","0.409466489","28","177.5293199","2429","D127_O020","1","1","D127_O020_S01","-8052534689131659366","7894140202556771369","D127_O020_S01_E01"
"D127","O084","8","1200","0.25","797","0.372992677","0.000386491","0.00152113","169","183.7215225","2457","D127_O084","1","1","D127_O084_S01","-6482704356501001451","-5713445913657914812","D127_O084_S01_E01"
"D123","O068","1","1200","0.25","871","0.148525779","0.2389906","0.43126666","22","0.497358766","2901","D123_O068","1","1","D123_O068_S01","5299748876169590632","5079811281357148764","D123_O068_S01_E01"
"D123","O002","1","1200","0.25","71","0.386957289","0.33590604","0.423756547","16","307.2750649","2921","D123_O002","1","1","D123_O002_S01","3981150769062294591","-8134898027185738745","D123_O002_S01_E01"
"D123","O094","1","1200","0.25","888","0.302089761","0.091469055","0.358945917","193","63.10170114","2929","D123_O094","1","1","D123_O094_S01","-4896645968591707943","5298468927275014228","D123_O094_S01_E01"
"D123","O011","1","1200","0.25","163","0.257766277","0.230369452","0.067376828","24","353.5178995","2961","D123_O011","1","1","D123_O011_S01","592707577977050866","-7896910336146021797","D123_O011_S01_E01"
"D123","O043","1","1200","0.25","936","0.154267686","0.332919895","0.389161836","211","3.031297441","3001","D123_O043","1","1","D123_O043_S01","-5163706959245558871","-7826602960506780415","D123_O043_S01_E01"
"D123","O020","1","1200","0.25","113","0.348269976","0.095285863","0.409466489","28","177.5293199","3005","D123_O020","1","1","D123_O020_S01","6579794683417239765","-6406617474908686557","D123_O020_S01_E01"
"D123","O084","1","1200","0.25","797","0.372992677","0.000386491","0.00152113","169","183.7215225","3033","D123_O084","1","1","D123_O084_S01","3010170271146283455","3320790460582517293","D123_O084_S01_E01"
"D043","O043","7","1175","2.004291591","936","0.154267686","0.332919895","0.389161836","211","3.031297441","3769","D043_O043","1","1","D043_O043_S01","4266597272268024859","3432299166026721406","D043_O043_S01_E01"
"D043","O084","7","1175","2.004291591","797","0.372992677","0.000386491","0.00152113","169","183.7215225","3801","D043_O084","1","1","D043_O084_S01","-7718813076593688860","7854842816617937589","D043_O084_S01_E01"
"D021","O043","3","997","1.249089371","936","0.154267686","0.332919895","0.389161836","211","3.031297441","3961","D021_O043","1","1","D021_O043_S01","-6593973445484747064","4543724361573351844","D021_O043_S01_E01"
"D021","O084","3","997","1.249089371","797","0.372992677","0.000386491","0.00152113","169","183.7215225","3993","D021_O084","1","1","D021_O084_S01","4793214068899288637","-3697521030012720637","D021_O084_S01_E01"
"D077","O043","2","230","2.845107804","936","0.154267686","0.332919895","0.389161836","211","3.031297441","4153","D077_O043","1","1","D077_O043_S01","-8651821029021123798","6166743385968474196","D077_O043_S01_E01"
"D100","O052","3","113","0.611512327","249","0.293109713","0.381495942","0.29384703","30","0.209280898","5245","D100_O052","1","1","D100_O052_S01","-4819856910172733581","-1797490903251304837","D100_O052_S01_E01"
"D114","O084","6","941","5.269639679","797","0.372992677","0.000386491","0.00152113","169","183.7215225","5529","D114_O084","1","1","D114_O084_S01","-3210119190690514359","-27450051553319081","D114_O084_S01_E01"
"D001","O043","8","474","7.230124069","936","0.154267686","0.332919895","0.389161836","211","3.031297441","5689","D001_O043","1","1","D001_O043_S01","-8531747513509186390","-3155199275936563262","D001_O043_S01_E01"
"D116","O043","4","1043","7.936094537","936","0.154267686","0.332919895","0.389161836","211","3.031297441","6841","D116_O043","1","1","D116_O043_S01","-4168284105620774649","7781801495953495946","D116_O043_S01_E01"
"D116","O084","4","1043","7.936094537","797","0.372992677","0.000386491","0.00152113","169","183.7215225","6873","D116_O084","1","1","D116_O084_S01","5388047703771389204","6806326788673797450","D116_O084_S01_E01"
"D078","O043","8","257","1.020754365","936","0.154267686","0.332919895","0.389161836","211","3.031297441","8185","D078_O043","1","1","D078_O043_S01","-1962089293470547275","-5923041250815863718","D078_O043_S01_E01"
"D031","O043","2","330","5.500368216","936","0.154267686","0.332919895","0.389161836","211","3.031297441","8377","D031_O043","1","1","D031_O043_S01","5991921098268796558","-1794069004302323557","D031_O043_S01_E01"
"D071","O043","1","110","1.885408793","936","0.154267686","0.332919895","0.389161836","211","3.031297441","8569","D071_O043","1","1","D071_O043_S01","1821355048096780685","6396958148565526981","D071_O043_S01_E01"
