design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,relative_transaction_load,execution_index,manifest_pair_id,network_instance,event_replication,network_realization_id,network_seed,event_seed,run_id
D001,O001,8,474,7.230124069,184,0.252173292,0.345006223,0.414518539,43,1.008029851,1,D001_O001,1,1,D001_O001_S01,-8916142020340043294,-5531826773398502702,D001_O001_S01_E01
D001,O001,8,474,7.230124069,184,0.252173292,0.345006223,0.414518539,43,1.008029851,2,D001_O001,1,2,D001_O001_S01,-8916142020340043294,-5295162329863095300,D001_O001_S01_E02
D001,O001,8,474,7.230124069,184,0.252173292,0.345006223,0.414518539,43,1.008029851,3,D001_O001,2,1,D001_O001_S02,6956257501623171185,7733431297784575312,D001_O001_S02_E01
D001,O001,8,474,7.230124069,184,0.252173292,0.345006223,0.414518539,43,1.008029851,4,D001_O001,2,2,D001_O001_S02,6956257501623171185,-4603328058386586186,D001_O001_S02_E02
D001,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,16,1.030814136,5,D001_O002,1,1,D001_O002_S01,-1432894143395513747,-7762813448682551120,D001_O002_S01_E01
D001,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,16,1.030814136,6,D001_O002,1,2,D001_O002_S01,-1432894143395513747,-4372291437058117894,D001_O002_S01_E02
D001,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,16,1.030814136,7,D001_O002,2,1,D001_O002_S02,-5089069815744059183,246370193385169050,D001_O002_S02_E01
D001,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,16,1.030814136,8,D001_O002,2,2,D001_O002_S02,-5089069815744059183,6752576287188831303,D001_O002_S02_E02
D001,O003,8,474,7.230124069,43,0.48531049,0.109844006,0.373132887,5,0.562934186,9,D001_O003,1,1,D001_O003_S01,758832606455530108,1191364016313888929,D001_O003_S01_E01
D001,O003,8,474,7.230124069,43,0.48531049,0.109844006,0.373132887,5,0.562934186,10,D001_O003,1,2,D001_O003_S01,758832606455530108,-7771083909630049631,D001_O003_S01_E02
D001,O003,8,474,7.230124069,43,0.48531049,0.109844006,0.373132887,5,0.562934186,11,D001_O003,2,1,D001_O003_S02,7769574805005387144,1824951238160824075,D001_O003_S02_E01
D001,O003,8,474,7.230124069,43,0.48531049,0.109844006,0.373132887,5,0.562934186,12,D001_O003,2,2,D001_O003_S02,7769574805005387144,4744704879382994373,D001_O003_S02_E02
D001,O004,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,12,0.621494583,13,D001_O004,1,1,D001_O004_S01,5452088998487502845,-7104110871684874833,D001_O004_S01_E01
D001,O004,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,12,0.621494583,14,D001_O004,1,2,D001_O004_S01,5452088998487502845,7874072509995679571,D001_O004_S01_E02
