design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,relative_transaction_load,execution_index,manifest_pair_id,network_instance,event_replication,network_realization_id,network_seed,event_seed,run_id
D001,S001,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,12,1.05,1,D001_S001,1,1,D001_S001_S01,-2772778901792893954,-1568533829176614578,D001_S001_S01_E01
D001,S001,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,12,1.05,2,D001_S001,1,2,D001_S001_S01,-2772778901792893954,-1560548717765300933,D001_S001_S01_E02
D001,S001,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,12,1.05,3,D001_S001,2,1,D001_S001_S02,-3053865965251228718,7932967085574271783,D001_S001_S02_E01
D001,S001,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,12,1.05,4,D001_S001,2,2,D001_S001_S02,-3053865965251228718,3857493365237298031,D001_S001_S02_E02
D001,S002,8,474,7.230124069,27,0.381805437,0.01616482,0.491613692,4,1.05,5,D001_S002,1,1,D001_S002_S01,5418863367838443090,-4152421651879237813,D001_S002_S01_E01
D001,S002,8,474,7.230124069,27,0.381805437,0.01616482,0.491613692,4,1.05,6,D001_S002,1,2,D001_S002_S01,5418863367838443090,2191166073423836617,D001_S002_S01_E02
D001,S002,8,474,7.230124069,27,0.381805437,0.01616482,0.491613692,4,1.05,7,D001_S002,2,1,D001_S002_S02,-2001502311908371600,4977499005102787277,D001_S002_S02_E01
D001,S002,8,474,7.230124069,27,0.381805437,0.01616482,0.491613692,4,1.05,8,D001_S002,2,2,D001_S002_S02,-2001502311908371600,8660806448480402366,D001_S002_S02_E02
D001,S003,8,474,7.230124069,797,0.372992677,0.000386491,0.00152113,169,1.05,9,D001_S003,1,1,D001_S003_S01,-1189449583463713227,8415526018603288236,D001_S003_S01_E01
D001,S003,8,474,7.230124069,797,0.372992677,0.000386491,0.00152113,169,1.05,10,D001_S003,1,2,D001_S003_S01,-1189449583463713227,-6215630212869969648,D001_S003_S01_E02
D001,S003,8,474,7.230124069,797,0.372992677,0.000386491,0.00152113,169,1.05,11,D001_S003,2,1,D001_S003_S02,6271256182785408898,-8937461193804073714,D001_S003_S02_E01
D001,S003,8,474,7.230124069,797,0.372992677,0.000386491,0.00152113,169,1.05,12,D001_S003,2,2,D001_S003_S02,6271256182785408898,6596753110514839743,D001_S003_S02_E02
D001,S004,8,474,7.230124069,585,0.392959459,0.39457393,0.498815231,30,1.05,13,D001_S004,1,1,D001_S004_S01,-1472789514504519472,1583833397443048130,D001_S004_S01_E01
D001,S004,8,474,7.230124069,585,0.392959459,0.39457393,0.498815231,30,1.05,14,D001_S004,1,2,D001_S004_S01,-1472789514504519472,347050110041795722,D001_S004_S01_E02
D001,S004,8,474,7.230124069,585,0.392959459,0.39457393,0.498815231,30,1.05,15,D001_S004,2,1,D001_S004_S02,4062270229907829435,-1646025273025623471,D001_S004_S02_E01
D001,S004,8,474,7.230124069,585,0.392959459,0.39457393,0.498815231,30,1.05,16,D001_S004,2,2,D001_S004_S02,4062270229907829435,7184177461631910995,D001_S004_S02_E02
D001,S005,8,474,7.230124069,36,0.042568944,0.004280635,0.087293441,3,1.05,17,D001_S005,1,1,D001_S005_S01,-7795836148122029422,-761322430515620607,D001_S005_S01_E01
D001,S005,8,474,7.230124069,36,0.042568944,0.004280635,0.087293441,3,1.05,18,D001_S005,1,2,D001_S005_S01,-7795836148122029422,-7669779635502361367,D001_S005_S01_E02
D001,S005,8,474,7.230124069,36,0.042568944,0.004280635,0.087293441,3,1.05,19,D001_S005,2,1,D001_S005_S02,6658321023421927981,2746709775550585406,D001_S005_S02_E01
D001,S005,8,474,7.230124069,36,0.042568944,0.004280635,0.087293441,3,1.05,20,D001_S005,2,2,D001_S005_S02,6658321023421927981,-4694195604857148020,D001_S005_S02_E02
D001,S006,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,126,1.05,21,D001_S006,1,1,D001_S006_S01,5148974865068298788,5652182826008832060,D001_S006_S01_E01
D001,S006,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,126,1.05,22,D001_S006,1,2,D001_S006_S01,5148974865068298788,3854834521149629629,D001_S006_S01_E02
D001,S006,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,126,1.05,23,D001_S006,2,1,D001_S006_S02,3371693569858066872,3944279321042771717,D001_S006_S02_E01
D001,S006,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,126,1.05,24,D001_S006,2,2,D001_S006_S02,3371693569858066872,-6489373017952320923,D001_S006_S02_E02
D001,S007,8,474,7.230124069,29,0.365502327,0.314203797,0.177999519,3,1.05,25,D001_S007,1,1,D001_S007_S01,-1868255191361058894,-100633478846362141,D001_S007_S01_E01
D001,S007,8,474,7.230124069,29,0.365502327,0.314203797,0.177999519,3,1.05,26,D001_S007,1,2,D001_S007_S01,-1868255191361058894,-903434223288240940,D001_S007_S01_E02
D001,S007,8,474,7.230124069,29,0.365502327,0.314203797,0.177999519,3,1.05,27,D001_S007,2,1,D001_S007_S02,8150410850654562285,-3711346950656500742,D001_S007_S02_E01
D001,S007,8,474,7.230124069,29,0.365502327,0.314203797,0.177999519,3,1.05,28,D001_S007,2,2,D001_S007_S02,8150410850654562285,2327991845048319691,D001_S007_S02_E02
D001,S008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,4,1.05,29,D001_S008,1,1,D001_S008_S01,-1804393780231250189,4269714808065537001,D001_S008_S01_E01
D001,S008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,4,1.05,30,D001_S008,1,2,D001_S008_S01,-1804393780231250189,8840886482562415752,D001_S008_S01_E02
D001,S008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,4,1.05,31,D001_S008,2,1,D001_S008_S02,4699514958001588052,-614283413496501673,D001_S008_S02_E01
D001,S008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,4,1.05,32,D001_S008,2,2,D001_S008_S02,4699514958001588052,-2690699079523822480,D001_S008_S02_E02
D001,S009,8,474,7.230124069,721,0.432376139,0.324925408,0.144007894,148,1.05,33,D001_S009,1,1,D001_S009_S01,-7235325987986881399,-4323826922717393019,D001_S009_S01_E01
D001,S009,8,474,7.230124069,721,0.432376139,0.324925408,0.144007894,148,1.05,34,D001_S009,1,2,D001_S009_S01,-7235325987986881399,3891970832443899674,D001_S009_S01_E02
D001,S009,8,474,7.230124069,721,0.432376139,0.324925408,0.144007894,148,1.05,35,D001_S009,2,1,D001_S009_S02,-2867082997166670401,7455898680716977918,D001_S009_S02_E01
D001,S009,8,474,7.230124069,721,0.432376139,0.324925408,0.144007894,148,1.05,36,D001_S009,2,2,D001_S009_S02,-2867082997166670401,-7795998352300878015,D001_S009_S02_E02
D001,S010,8,474,7.230124069,830,0.025772238,0.059916076,0.006124037,1,1.05,37,D001_S010,1,1,D001_S010_S01,-1142974584850326315,238966315694287836,D001_S010_S01_E01
D001,S010,8,474,7.230124069,830,0.025772238,0.059916076,0.006124037,1,1.05,38,D001_S010,1,2,D001_S010_S01,-1142974584850326315,-1714119799232209186,D001_S010_S01_E02
D001,S010,8,474,7.230124069,830,0.025772238,0.059916076,0.006124037,1,1.05,39,D001_S010,2,1,D001_S010_S02,-7603451207493478321,-4675712528418543045,D001_S010_S02_E01
D001,S010,8,474,7.230124069,830,0.025772238,0.059916076,0.006124037,1,1.05,40,D001_S010,2,2,D001_S010_S02,-7603451207493478321,-5806578397632654614,D001_S010_S02_E02
D001,S011,8,474,7.230124069,472,0.458927508,0.08115278,0.018055532,8,1.05,41,D001_S011,1,1,D001_S011_S01,2022926765029490153,-6268076218721868801,D001_S011_S01_E01
D001,S011,8,474,7.230124069,472,0.458927508,0.08115278,0.018055532,8,1.05,42,D001_S011,1,2,D001_S011_S01,2022926765029490153,-6110614681460853931,D001_S011_S01_E02
D001,S011,8,474,7.230124069,472,0.458927508,0.08115278,0.018055532,8,1.05,43,D001_S011,2,1,D001_S011_S02,-2341680380294663096,862369508238390829,D001_S011_S02_E01
