design_id,operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,relative_transaction_load,number_of_attackers
D001,O001,8,474,7.230124069,184,0.252173292,0.345006223,0.414518539,1.008029851,43
D001,O002,8,474,7.230124069,71,0.386957289,0.33590604,0.423756547,1.030814136,16
D001,O003,8,474,7.230124069,43,0.48531049,0.109844006,0.373132887,0.562934186,5
D001,O004,8,474,7.230124069,544,0.015441285,0.39993713,0.047767101,0.621494583,12
D001,O005,8,474,7.230124069,472,0.458927508,0.08115278,0.018055532,0.751825682,8
D001,O006,8,474,7.230124069,26,0.466438896,0.19990199,0.36047691,0.537345538,5
D001,O007,8,474,7.230124069,20,0.141130372,0.138764594,0.166622366,0.974703346,2
D001,O008,8,474,7.230124069,217,0.118365868,0.010264005,0.438577644,0.70421183,4
D001,O009,8,474,7.230124069,39,0.272204984,0.243100415,0.446678,0.893215891,1
D001,O010,8,474,7.230124069,78,0.42428609,0.04657399,0.47291634,0.886241643,6
D001,O011,8,474,7.230124069,163,0.257766277,0.230369452,0.067376828,1.041013094,24
D001,O012,8,474,7.230124069,121,0.018977159,0.042108472,0.106166432,0.634587855,7
D001,O013,8,474,7.230124069,38,0.13035544,0.200717694,0.465695355,0.90739434,4
D001,O014,8,474,7.230124069,505,0.055050564,0.385744929,0.323573274,0.956197221,126
D001,O015,8,474,7.230124069,369,0.403527677,0.186961283,0.029180542,1.016098144,88
D001,O016,8,474,7.230124069,990,0.188337728,0.211915952,0.403770273,0.683522338,99
D001,O017,8,474,7.230124069,47,0.235947901,0.205558573,0.450421949,0.98550411,1
D001,O018,8,474,7.230124069,128,0.201594351,0.132120615,0.2466657,1.015365814,15
D001,O019,8,474,7.230124069,24,0.431629638,0.254066717,0.253740338,0.934568431,1
D001,O020,8,474,7.230124069,113,0.348269976,0.095285863,0.409466489,0.990902637,28
D001,O021,8,474,7.230124069,35,0.407381528,0.191612689,0.078494355,0.726366674,4
D001,O022,8,474,7.230124069,193,0.265083523,0.114415056,0.48366938,0.770574624,6
D001,O023,8,474,7.230124069,410,0.214451437,0.12789836,0.094002538,0.876090399,34
D001,O024,8,474,7.230124069,109,0.107543079,0.370185632,0.33107989,0.763088384,2
D001,O025,8,474,7.230124069,53,0.129725034,0.023513439,0.022926164,0.647079336,9
D001,O026,8,474,7.230124069,104,0.335746812,0.309055962,0.214783733,0.866605062,9
D001,O027,8,474,7.230124069,120,0.173792118,0.275390581,0.115990185,0.594400816,1
D001,O028,8,474,7.230124069,315,0.161028291,0.149607497,0.243736481,0.836522744,76
D001,O029,8,474,7.230124069,744,0.31398409,0.144642217,0.380464816,1.001095973,47
D001,O030,8,474,7.230124069,96,0.291312931,0.178362873,0.260288981,0.712485371,21
D001,O031,8,474,7.230124069,61,0.375724597,0.298965989,0.344989603,1.023539068,2
D001,O032,8,474,7.230124069,449,0.47407037,0.293964396,0.333868972,0.526716923,86
D001,O033,8,474,7.230124069,28,0.356894295,0.285864598,0.280390934,0.572892371,5
