design_id,overload_condition_id,source_operational_id,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,transaction_arrival_rate
D001,S001,O040,8,474,7.230124069,22,0.132312725,0.387023034,0.48640877,1,32.03219524
D001,S002,O081,8,474,7.230124069,625,0.489155662,0.075116015,0.08373988,87,32.03219524
D001,S003,O024,8,474,7.230124069,558,0.01340343,0.303476888,0.066234207,102,32.03219524
D001,S004,O048,8,474,7.230124069,23,0.00021805,0.028031124,0.277887063,4,32.03219524
D001,S005,O061,8,474,7.230124069,504,0.370505912,0.3328803,0.491272741,97,32.03219524
D001,S006,O045,8,474,7.230124069,38,0.251921878,0.260723642,0.043585928,1,32.03219524
D001,S007,O069,8,474,7.230124069,761,0.152114511,0.215299072,0.367977204,1,32.03219524
D001,S008,O092,8,474,7.230124069,96,0.418898266,0.008705234,0.425829723,10,32.03219524
D001,S009,O074,8,474,7.230124069,27,0.164642573,0.30767454,0.244719524,6,32.03219524
D001,S010,O043,8,474,7.230124069,60,0.470149674,0.350184037,0.345788332,1,32.03219524
D001,S011,O054,8,474,7.230124069,29,0.443915181,0.25137144,0.497993332,6,32.03219524
D001,S012,O002,8,474,7.230124069,27,0.258752568,0.087770931,0.008640494,5,32.03219524
D001,S013,O001,8,474,7.230124069,277,0.102604459,0.043442589,0.194317089,68,32.03219524
D001,S014,O008,8,474,7.230124069,221,0.074747705,0.106527742,0.017441816,3,32.03219524
D001,S015,O015,8,474,7.230124069,209,0.451149983,0.236045833,0.154470026,51,32.03219524
D001,S016,O021,8,474,7.230124069,420,0.48022181,0.187407167,0.359386041,21,32.03219524
D001,S017,O082,8,474,7.230124069,165,0.435076568,0.000913393,0.024702354,3,32.03219524
D001,S018,O066,8,474,7.230124069,494,0.215122594,0.12849833,0.421195428,82,32.03219524
D001,S019,O089,8,474,7.230124069,65,0.160593613,0.12131002,0.43177507,4,32.03219524
D001,S020,O055,8,474,7.230124069,140,0.36567333,0.006141596,0.323833398,34,32.03219524
D001,S021,O019,8,474,7.230124069,346,0.328784836,0.382557414,0.459924272,20,32.03219524
D001,S022,O056,8,474,7.230124069,839,0.314045176,0.146767962,0.097912175,33,32.03219524
D001,S023,O085,8,474,7.230124069,121,0.235238901,0.36680338,0.28802825,18,32.03219524
D001,S024,O075,8,474,7.230124069,157,0.187375651,0.192115859,0.011697982,34,32.03219524
D001,S025,O006,8,474,7.230124069,612,0.351754303,0.257897057,0.260304956,90,32.03219524
D001,S026,O010,8,474,7.230124069,451,0.052883935,0.358161718,0.236761336,42,32.03219524
D001,S027,O080,8,474,7.230124069,42,0.40076867,0.158141091,0.247798621,9,32.03219524
D001,S028,O011,8,474,7.230124069,74,0.144332149,0.165813474,0.385639579,14,32.03219524
D001,S029,O086,8,474,7.230124069,982,0.199347615,0.312135777,0.001921653,110,32.03219524
D001,S030,O049,8,474,7.230124069,167,0.088317626,0.338602146,0.450648463,15,32.03219524
D001,S031,O038,8,474,7.230124069,541,0.023426649,0.269227699,0.314041207,106,32.03219524
D001,S032,O095,8,474,7.230124069,737,0.275444304,0.049819636,0.213727811,96,32.03219524
D002,S001,O040,3,167,1.576274442,22,0.132312725,0.387023034,0.48640877,1,19.82141514
D002,S002,O081,3,167,1.576274442,625,0.489155662,0.075116015,0.08373988,87,19.82141514
D002,S003,O024,3,167,1.576274442,558,0.01340343,0.303476888,0.066234207,102,19.82141514
D002,S004,O048,3,167,1.576274442,23,0.00021805,0.028031124,0.277887063,4,19.82141514
D002,S005,O061,3,167,1.576274442,504,0.370505912,0.3328803,0.491272741,97,19.82141514
D002,S006,O045,3,167,1.576274442,38,0.251921878,0.260723642,0.043585928,1,19.82141514
D002,S007,O069,3,167,1.576274442,761,0.152114511,0.215299072,0.367977204,1,19.82141514
D002,S008,O092,3,167,1.576274442,96,0.418898266,0.008705234,0.425829723,10,19.82141514
D002,S009,O074,3,167,1.576274442,27,0.164642573,0.30767454,0.244719524,6,19.82141514
