pilot_id,pilot_case_role,connection_count,block_creation_interval,maximum_block_size,validating_node_count,node_bandwidth_heterogeneity,link_bandwidth_heterogeneity,hashing_power_concentration,number_of_attackers,transaction_arrival_rate
P01,central_design_and_operational_condition,5,268,1.414213562,141,0.25,0.2,0.25,18,9.128709292
P02,design_corner_C1_BCI60_MBS0.25,1,60,0.25,141,0.25,0.2,0.25,18,9.128709292
P03,design_corner_C1_BCI60_MBS8.0,1,60,8,141,0.25,0.2,0.25,18,9.128709292
P04,design_corner_C1_BCI1200_MBS0.25,1,1200,0.25,141,0.25,0.2,0.25,18,9.128709292
P05,design_corner_C1_BCI1200_MBS8.0,1,1200,8,141,0.25,0.2,0.25,18,9.128709292
P06,design_corner_C8_BCI60_MBS0.25,8,60,0.25,141,0.25,0.2,0.25,18,9.128709292
P07,design_corner_C8_BCI60_MBS8.0,8,60,8,141,0.25,0.2,0.25,18,9.128709292
P08,design_corner_C8_BCI1200_MBS0.25,8,1200,0.25,141,0.25,0.2,0.25,18,9.128709292
P09,design_corner_C8_BCI1200_MBS8.0,8,1200,8,141,0.25,0.2,0.25,18,9.128709292
P10,NV_low,5,268,1.414213562,20,0.25,0.2,0.25,3,9.128709292
P11,NV_high,5,268,1.414213562,1000,0.25,0.2,0.25,125,9.128709292
P12,H_node_low,5,268,1.414213562,141,0,0.2,0.25,18,9.128709292
P13,H_node_high,5,268,1.414213562,141,0.5,0.2,0.25,18,9.128709292
P14,H_link_low,5,268,1.414213562,141,0.25,0,0.25,18,9.128709292
P15,H_link_high,5,268,1.414213562,141,0.25,0.4,0.25,18,9.128709292
P16,H_hash_low,5,268,1.414213562,141,0.25,0.2,0,18,9.128709292
P17,H_hash_high,5,268,1.414213562,141,0.25,0.2,0.5,18,9.128709292
P18,f_A_low,5,268,1.414213562,141,0.25,0.2,0.25,0,9.128709292
P19,f_A_high,5,268,1.414213562,141,0.25,0.2,0.25,35,9.128709292
P20,lambda_tx_per_s_low,5,268,1.414213562,141,0.25,0.2,0.25,18,0.208333333
P21,lambda_tx_per_s_high,5,268,1.414213562,141,0.25,0.2,0.25,18,400
P22,low_capacity_high_operational_stress,1,1200,0.25,1000,0.5,0.4,0.5,250,400
P23,high_capacity_high_operational_stress,8,60,8,1000,0.5,0.4,0.5,250,400
P24,small_network_dense_connectivity_high_heterogeneity,8,268,1.414213562,20,0.5,0.4,0.5,5,9.128709292
